{'sf': 'dile', 'freq': '1529', 'analysis': 'Stem-dat', 'segmentation': 'dil-e', 'ur': 'dil-A', 'predicted_sr': 'dil-A'}
{'sf': 'bɑʃɑ', 'freq': '666', 'analysis': 'Stem-dat', 'segmentation': 'bɑʃ-ɑ', 'ur': 'bɑʃ-A', 'predicted_sr': 'bɑʃ-A'}
{'sf': 'jɯldɑn', 'freq': '660', 'analysis': 'Stem-abl', 'segmentation': 'jɯl-dɑn', 'ur': 'jɯl-dAn', 'predicted_sr': 'jɯl-dAn'}
{'sf': 'jɑpɯsɑl', 'freq': '660', 'analysis': 'Stem-sal', 'segmentation': 'jɑpɯ-sɑl', 'ur': 'jɑpɯ-sAl', 'predicted_sr': 'jɑpɯ-sAl'}
{'sf': 'døkymy', 'freq': '648', 'analysis': 'Stem-p3s', 'segmentation': 'døkym-y', 'ur': 'døkym-H', 'predicted_sr': 'døkym-U'}
{'sf': 'ønleme', 'freq': '636', 'analysis': 'Stem-vn:inf', 'segmentation': 'ønle-me', 'ur': 'ønle-mA', 'predicted_sr': 'ønle-mA'}
{'sf': 'tymy', 'freq': '636', 'analysis': 'Stem-p3s', 'segmentation': 'tym-y', 'ur': 'tym-H', 'predicted_sr': 'tym-U'}
{'sf': 'ʃirketlerin', 'freq': '635', 'analysis': 'Stem-pl-gen', 'segmentation': 'ʃirket-ler-in', 'ur': 'ʃirket-lAr-Hn', 'predicted_sr': 'ʃirket-lAr-In'}
{'sf': 'gynler', 'freq': '621', 'analysis': 'Stem-pl', 'segmentation': 'gyn-ler', 'ur': 'gyn-lAr', 'predicted_sr': 'gyn-lAr'}
{'sf': 'dyzenlenmei', 'freq': '620', 'analysis': 'Stem-lan-vn:inf-p3s', 'segmentation': 'dyzen-len-me-i', 'ur': 'dyzen-lAn-mA-H', 'predicted_sr': 'dyzen-lAn-mA-I'}
{'sf': 'insɑnɑ', 'freq': '614', 'analysis': 'Stem-dat', 'segmentation': 'insɑn-ɑ', 'ur': 'insɑn-A', 'predicted_sr': 'insɑn-A'}
{'sf': 'jønden', 'freq': '608', 'analysis': 'Stem-abl', 'segmentation': 'jøn-den', 'ur': 'jøn-dAn', 'predicted_sr': 'jøn-dAn'}
{'sf': 'dikkɑtli', 'freq': '605', 'analysis': 'Stem-li', 'segmentation': 'dikkɑt-li', 'ur': 'dikkɑt-lH', 'predicted_sr': 'dikkɑt-lɯ'}
{'sf': 'fɑɑlijetler', 'freq': '604', 'analysis': 'Stem-pl', 'segmentation': 'fɑɑlijet-ler', 'ur': 'fɑɑlijet-lAr', 'predicted_sr': 'fɑɑlijet-lAr'}
{'sf': 'fijɑtlɑrɯ', 'freq': '598', 'analysis': 'Stem-pl-p3s', 'segmentation': 'fijɑt-lɑr-ɯ', 'ur': 'fijɑt-lAr-H', 'predicted_sr': 'fijɑt-lAr-I'}
{'sf': 'mutluluk', 'freq': '598', 'analysis': 'Stem-lik', 'segmentation': 'mutlu-luk', 'ur': 'mutlu-lHk', 'predicted_sr': 'mutlu-lUk'}
{'sf': 'eve', 'freq': '597', 'analysis': 'Stem-dat', 'segmentation': 'ev-e', 'ur': 'ev-A', 'predicted_sr': 'ev-A'}
{'sf': 'belirterek', 'freq': '594', 'analysis': 'Stem-cv:erek', 'segmentation': 'belirt-erek', 'ur': 'belirt-ArAk', 'predicted_sr': 'belirt-ArAk'}
{'sf': 'hizmetlerin', 'freq': '580', 'analysis': 'Stem-pl-gen', 'segmentation': 'hizmet-ler-in', 'ur': 'hizmet-lAr-Hn', 'predicted_sr': 'hizmet-lAr-In'}
{'sf': 'evrensel', 'freq': '578', 'analysis': 'Stem-sal', 'segmentation': 'evren-sel', 'ur': 'evren-sAl', 'predicted_sr': 'evren-sAl'}
{'sf': 'temsilʤileri', 'freq': '578', 'analysis': 'Stem-pl-p3s', 'segmentation': 'temsilʤi-ler-i', 'ur': 'temsilʤi-lAr-H', 'predicted_sr': 'temsilʤi-lAr-I'}
{'sf': 'ilɑʧlɑr', 'freq': '577', 'analysis': 'Stem-pl', 'segmentation': 'ilɑʧ-lɑr', 'ur': 'ilɑʧ-lAr', 'predicted_sr': 'ilɑʧ-lAr'}
{'sf': 'kɑrʃɯɑ', 'freq': '576', 'analysis': 'Stem-dat', 'segmentation': 'kɑrʃɯ-ɑ', 'ur': 'kɑrʃɯ-A', 'predicted_sr': 'kɑrʃɯ-A'}
{'sf': 'devletler', 'freq': '574', 'analysis': 'Stem-pl', 'segmentation': 'devlet-ler', 'ur': 'devlet-lAr', 'predicted_sr': 'devlet-lAr'}
{'sf': 'uzɑnɑn', 'freq': '574', 'analysis': 'Stem-part:pres', 'segmentation': 'uzɑn-ɑn', 'ur': 'uzɑn-An', 'predicted_sr': 'uzɑn-An'}
{'sf': 'hukuku', 'freq': '569', 'analysis': 'Stem-p3s', 'segmentation': 'hukuk-u', 'ur': 'hukuk-H', 'predicted_sr': 'hukuk-U'}
{'sf': 'toplumɑ', 'freq': '568', 'analysis': 'Stem-dat', 'segmentation': 'toplum-ɑ', 'ur': 'toplum-A', 'predicted_sr': 'toplum-A'}
{'sf': 'ʧoʤuklɑrɑ', 'freq': '566', 'analysis': 'Stem-pl-dat', 'segmentation': 'ʧoʤuk-lɑr-ɑ', 'ur': 'ʧoʤuk-lAr-A', 'predicted_sr': 'ʧoʤuk-lAr-A'}
{'sf': 'kɑdɯnlɑrɯn', 'freq': '564', 'analysis': 'Stem-pl-gen', 'segmentation': 'kɑdɯn-lɑr-ɯn', 'ur': 'kɑdɯn-lAr-Hn', 'predicted_sr': 'kɑdɯn-lAr-In'}
{'sf': 'plɑnɑ', 'freq': '563', 'analysis': 'Stem-dat', 'segmentation': 'plɑn-ɑ', 'ur': 'plɑn-A', 'predicted_sr': 'plɑn-A'}
{'sf': 'rɑporlɑrɯ', 'freq': '563', 'analysis': 'Stem-pl-p3s', 'segmentation': 'rɑpor-lɑr-ɯ', 'ur': 'rɑpor-lAr-H', 'predicted_sr': 'rɑpor-lAr-I'}
{'sf': 'tutɑn', 'freq': '561', 'analysis': 'Stem-part:pres', 'segmentation': 'tut-ɑn', 'ur': 'tut-An', 'predicted_sr': 'tut-An'}
{'sf': 'birimleri', 'freq': '556', 'analysis': 'Stem-pl-p3s', 'segmentation': 'birim-ler-i', 'ur': 'birim-lAr-H', 'predicted_sr': 'birim-lAr-I'}
{'sf': 'vermei', 'freq': '554', 'analysis': 'Stem-vn:inf-p3s', 'segmentation': 'ver-me-i', 'ur': 'ver-mA-H', 'predicted_sr': 'ver-mA-I'}
{'sf': 'bizde', 'freq': '548', 'analysis': 'Stem-loc', 'segmentation': 'biz-de', 'ur': 'biz-dA', 'predicted_sr': 'biz-dA'}
{'sf': 'nereden', 'freq': '546', 'analysis': 'Stem-abl', 'segmentation': 'nere-den', 'ur': 'nere-dAn', 'predicted_sr': 'nere-dAn'}
{'sf': 'jɑʃɑmɑ', 'freq': '543', 'analysis': 'Stem-vn:inf', 'segmentation': 'jɑʃɑ-mɑ', 'ur': 'jɑʃɑ-mA', 'predicted_sr': 'jɑʃɑ-mA'}
{'sf': 'ɑrɑʧlɑr', 'freq': '542', 'analysis': 'Stem-pl', 'segmentation': 'ɑrɑʧ-lɑr', 'ur': 'ɑrɑʧ-lAr', 'predicted_sr': 'ɑrɑʧ-lAr'}
{'sf': 'jønetmelikte', 'freq': '540', 'analysis': 'Stem-loc', 'segmentation': 'jønetmelik-te', 'ur': 'jønetmelik-dA', 'predicted_sr': 'jønetmelik-dA'}
{'sf': 'fɑɑlijete', 'freq': '536', 'analysis': 'Stem-dat', 'segmentation': 'fɑɑlijet-e', 'ur': 'fɑɑlijet-A', 'predicted_sr': 'fɑɑlijet-A'}
{'sf': 'kutsɑl', 'freq': '532', 'analysis': 'Stem-sal', 'segmentation': 'kut-sɑl', 'ur': 'kut-sAl', 'predicted_sr': 'kut-sAl'}
{'sf': 'bizden', 'freq': '531', 'analysis': 'Stem-abl', 'segmentation': 'biz-den', 'ur': 'biz-dAn', 'predicted_sr': 'biz-dAn'}
{'sf': 'sɑvɑʃɑ', 'freq': '529', 'analysis': 'Stem-dat', 'segmentation': 'sɑvɑʃ-ɑ', 'ur': 'sɑvɑʃ-A', 'predicted_sr': 'sɑvɑʃ-A'}
{'sf': 'bɑɰlɑmdɑ', 'freq': '517', 'analysis': 'Stem-loc', 'segmentation': 'bɑɰlɑm-dɑ', 'ur': 'bɑɰlɑm-dA', 'predicted_sr': 'bɑɰlɑm-dA'}
{'sf': 'bɑʃlɑngɯʧtɑ', 'freq': '517', 'analysis': 'Stem-loc', 'segmentation': 'bɑʃlɑngɯʧ-tɑ', 'ur': 'bɑʃlɑngɯʧ-dA', 'predicted_sr': 'bɑʃlɑngɯʧ-dA'}
{'sf': 'øɰretmenler', 'freq': '511', 'analysis': 'Stem-pl', 'segmentation': 'øɰretmen-ler', 'ur': 'øɰretmen-lAr', 'predicted_sr': 'øɰretmen-lAr'}
{'sf': 'ujgulɑmɑdɑ', 'freq': '508', 'analysis': 'Stem-loc', 'segmentation': 'ujgulɑmɑ-dɑ', 'ur': 'ujgulɑmɑ-dA', 'predicted_sr': 'ujgulɑmɑ-dA'}
{'sf': 'odɑlɑrɯ', 'freq': '503', 'analysis': 'Stem-pl-p3s', 'segmentation': 'odɑ-lɑr-ɯ', 'ur': 'odɑ-lAr-H', 'predicted_sr': 'odɑ-lAr-I'}
{'sf': 'bɑʃvurɑn', 'freq': '502', 'analysis': 'Stem-part:pres', 'segmentation': 'bɑʃvur-ɑn', 'ur': 'bɑʃvur-An', 'predicted_sr': 'bɑʃvur-An'}
{'sf': 'rɑpordɑ', 'freq': '502', 'analysis': 'Stem-loc', 'segmentation': 'rɑpor-dɑ', 'ur': 'rɑpor-dA', 'predicted_sr': 'rɑpor-dA'}
{'sf': 'okuldɑ', 'freq': '500', 'analysis': 'Stem-loc', 'segmentation': 'okul-dɑ', 'ur': 'okul-dA', 'predicted_sr': 'okul-dA'}
{'sf': 'tesisler', 'freq': '499', 'analysis': 'Stem-pl', 'segmentation': 'tesis-ler', 'ur': 'tesis-lAr', 'predicted_sr': 'tesis-lAr'}
{'sf': 'gørevlileri', 'freq': '497', 'analysis': 'Stem-li-p3p', 'segmentation': 'gørev-li-leri', 'ur': 'gørev-lH-lArH', 'predicted_sr': 'gørev-li-lArI'}
{'sf': 'sɑjɯlɑrɯ', 'freq': '494', 'analysis': 'Stem-pl-p3s', 'segmentation': 'sɑjɯ-lɑr-ɯ', 'ur': 'sɑjɯ-lAr-H', 'predicted_sr': 'sɑjɯ-lAr-I'}
{'sf': 'nyfusu', 'freq': '492', 'analysis': 'Stem-p3s', 'segmentation': 'nyfus-u', 'ur': 'nyfus-H', 'predicted_sr': 'nyfus-U'}
{'sf': 'fonu', 'freq': '490', 'analysis': 'Stem-p3s', 'segmentation': 'fon-u', 'ur': 'fon-H', 'predicted_sr': 'fon-U'}
{'sf': 'tɑrɑftɑ', 'freq': '489', 'analysis': 'Stem-loc', 'segmentation': 'tɑrɑf-tɑ', 'ur': 'tɑrɑf-dA', 'predicted_sr': 'tɑrɑf-dA'}
{'sf': 'ihtijɑʧlɑrɯ', 'freq': '487', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ihtijɑʧ-lɑr-ɯ', 'ur': 'ihtijɑʧ-lAr-H', 'predicted_sr': 'ihtijɑʧ-lAr-I'}
{'sf': 'dɯʃɑrɯdɑn', 'freq': '485', 'analysis': 'Stem-abl', 'segmentation': 'dɯʃɑrɯ-dɑn', 'ur': 'dɯʃɑrɯ-dAn', 'predicted_sr': 'dɯʃɑrɯ-dAn'}
{'sf': 'sunmɑ', 'freq': '481', 'analysis': 'Stem-vn:inf', 'segmentation': 'sun-mɑ', 'ur': 'sun-mA', 'predicted_sr': 'sun-mA'}
{'sf': 'bɑkɑnlɯkʧɑ', 'freq': '477', 'analysis': 'Stem-ca', 'segmentation': 'bɑkɑnlɯk-ʧɑ', 'ur': 'bɑkɑnlɯk-ʧA', 'predicted_sr': 'bɑkɑnlɯk-ʧA'}
{'sf': 'kɑjnɑklɑrɯn', 'freq': '477', 'analysis': 'Stem-pl-gen', 'segmentation': 'kɑjnɑk-lɑr-ɯn', 'ur': 'kɑjnɑk-lAr-Hn', 'predicted_sr': 'kɑjnɑk-lAr-In'}
{'sf': 'ɑdɑjlɑrɯn', 'freq': '473', 'analysis': 'Stem-pl-gen', 'segmentation': 'ɑdɑj-lɑr-ɯn', 'ur': 'ɑdɑj-lAr-Hn', 'predicted_sr': 'ɑdɑj-lAr-In'}
{'sf': 'sorulɑrɯ', 'freq': '470', 'analysis': 'Stem-pl-acc', 'segmentation': 'soru-lɑr-ɯ', 'ur': 'soru-lAr-H', 'predicted_sr': 'soru-lAr-I'}
{'sf': 'bilme', 'freq': '468', 'analysis': 'Stem-vn:inf', 'segmentation': 'bil-me', 'ur': 'bil-mA', 'predicted_sr': 'bil-mA'}
{'sf': 'geʧmiʃte', 'freq': '468', 'analysis': 'Stem-loc', 'segmentation': 'geʧmiʃ-te', 'ur': 'geʧmiʃ-dA', 'predicted_sr': 'geʧmiʃ-dA'}
{'sf': 'memuru', 'freq': '468', 'analysis': 'Stem-p3s', 'segmentation': 'memur-u', 'ur': 'memur-H', 'predicted_sr': 'memur-U'}
{'sf': 'seʧenekleri', 'freq': '466', 'analysis': 'Stem-pl-p3s', 'segmentation': 'seʧenek-ler-i', 'ur': 'seʧenek-lAr-H', 'predicted_sr': 'seʧenek-lAr-I'}
{'sf': 'jøny', 'freq': '465', 'analysis': 'Stem-p3s', 'segmentation': 'jøn-y', 'ur': 'jøn-H', 'predicted_sr': 'jøn-U'}
{'sf': 'bilgisɑjɑrɑ', 'freq': '463', 'analysis': 'Stem-dat', 'segmentation': 'bilgisɑjɑr-ɑ', 'ur': 'bilgisɑjɑr-A', 'predicted_sr': 'bilgisɑjɑr-A'}
{'sf': 'kitɑplɑrɯ', 'freq': '463', 'analysis': 'Stem-pl-p3s', 'segmentation': 'kitɑp-lɑr-ɯ', 'ur': 'kitɑp-lAr-H', 'predicted_sr': 'kitɑp-lAr-I'}
{'sf': 'bɑʃvuruu', 'freq': '460', 'analysis': 'Stem-p3s', 'segmentation': 'bɑʃvuru-u', 'ur': 'bɑʃvuru-H', 'predicted_sr': 'bɑʃvuru-U'}
{'sf': 'dɑjɑnɑrɑk', 'freq': '460', 'analysis': 'Stem-cv:erek', 'segmentation': 'dɑjɑn-ɑrɑk', 'ur': 'dɑjɑn-ArAk', 'predicted_sr': 'dɑjɑn-ArAk'}
{'sf': 'gerʧekleʃen', 'freq': '459', 'analysis': 'Stem-las-part:pres', 'segmentation': 'gerʧek-leʃ-en', 'ur': 'gerʧek-lAʃ-An', 'predicted_sr': 'gerʧek-lAʃ-An'}
{'sf': 'proʒelerin', 'freq': '457', 'analysis': 'Stem-pl-gen', 'segmentation': 'proʒe-ler-in', 'ur': 'proʒe-lAr-Hn', 'predicted_sr': 'proʒe-lAr-In'}
{'sf': 'ʧɑlɯʃmɑɯ', 'freq': '456', 'analysis': 'Stem-vn:inf-acc', 'segmentation': 'ʧɑlɯʃ-mɑ-ɯ', 'ur': 'ʧɑlɯʃ-mA-H', 'predicted_sr': 'ʧɑlɯʃ-mA-I'}
{'sf': 'geʧerek', 'freq': '454', 'analysis': 'Stem-cv:erek', 'segmentation': 'geʧ-erek', 'ur': 'geʧ-ArAk', 'predicted_sr': 'geʧ-ArAk'}
{'sf': 'birɑrɑɑ', 'freq': '452', 'analysis': 'Stem-dat', 'segmentation': 'birɑrɑ-ɑ', 'ur': 'birɑrɑ-A', 'predicted_sr': 'birɑrɑ-A'}
{'sf': 'tɑlepleri', 'freq': '452', 'analysis': 'Stem-pl-p3s', 'segmentation': 'tɑlep-ler-i', 'ur': 'tɑlep-lAr-H', 'predicted_sr': 'tɑlep-lAr-I'}
{'sf': 'tipleri', 'freq': '444', 'analysis': 'Stem-pl-acc', 'segmentation': 'tip-ler-i', 'ur': 'tip-lAr-H', 'predicted_sr': 'tip-lAr-I'}
{'sf': 'etmeleri', 'freq': '443', 'analysis': 'Stem-vn:inf-pl-p3s', 'segmentation': 'et-me-ler-i', 'ur': 'et-mA-lAr-H', 'predicted_sr': 'et-mA-lAr-I'}
{'sf': 'jɑkɯndɑ', 'freq': '441', 'analysis': 'Stem-loc', 'segmentation': 'jɑkɯn-dɑ', 'ur': 'jɑkɯn-dA', 'predicted_sr': 'jɑkɯn-dA'}
{'sf': 'iʃten', 'freq': '438', 'analysis': 'Stem-abl', 'segmentation': 'iʃ-ten', 'ur': 'iʃ-dAn', 'predicted_sr': 'iʃ-dAn'}
{'sf': 'kuruluʃlɑrɑ', 'freq': '438', 'analysis': 'Stem-pl-dat', 'segmentation': 'kuruluʃ-lɑr-ɑ', 'ur': 'kuruluʃ-lAr-A', 'predicted_sr': 'kuruluʃ-lAr-A'}
{'sf': 'devlete', 'freq': '436', 'analysis': 'Stem-dat', 'segmentation': 'devlet-e', 'ur': 'devlet-A', 'predicted_sr': 'devlet-A'}
{'sf': 'hɑklɑrɯɯn', 'freq': '436', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'hɑk-lɑr-ɯ-ɯn', 'ur': 'hɑk-lAr-H-Hn', 'predicted_sr': 'hɑk-lAr-I-In'}
{'sf': 'hesɑplɑrɯ', 'freq': '433', 'analysis': 'Stem-pl-acc', 'segmentation': 'hesɑp-lɑr-ɯ', 'ur': 'hesɑp-lAr-H', 'predicted_sr': 'hesɑp-lAr-I'}
{'sf': 'kɑtɯlmɑ', 'freq': '432', 'analysis': 'Stem-vn:inf', 'segmentation': 'kɑtɯl-mɑ', 'ur': 'kɑtɯl-mA', 'predicted_sr': 'kɑtɯl-mA'}
{'sf': 'progrɑmlɑrɯɯn', 'freq': '429', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'progrɑm-lɑr-ɯ-ɯn', 'ur': 'progrɑm-lAr-H-Hn', 'predicted_sr': 'progrɑm-lAr-I-In'}
{'sf': 'kɑrtlɑrɯ', 'freq': '426', 'analysis': 'Stem-pl-p3s', 'segmentation': 'kɑrt-lɑr-ɯ', 'ur': 'kɑrt-lAr-H', 'predicted_sr': 'kɑrt-lAr-I'}
{'sf': 'gøryntyler', 'freq': '425', 'analysis': 'Stem-pl', 'segmentation': 'gørynty-ler', 'ur': 'gørynty-lAr', 'predicted_sr': 'gørynty-lAr'}
{'sf': 'tɑrɑfɑ', 'freq': '422', 'analysis': 'Stem-dat', 'segmentation': 'tɑrɑf-ɑ', 'ur': 'tɑrɑf-A', 'predicted_sr': 'tɑrɑf-A'}
{'sf': 'ʧekme', 'freq': '420', 'analysis': 'Stem-vn:inf', 'segmentation': 'ʧek-me', 'ur': 'ʧek-mA', 'predicted_sr': 'ʧek-mA'}
{'sf': 'geride', 'freq': '420', 'analysis': 'Stem-loc', 'segmentation': 'geri-de', 'ur': 'geri-dA', 'predicted_sr': 'geri-dA'}
{'sf': 'konulɑrɯn', 'freq': '420', 'analysis': 'Stem-pl-gen', 'segmentation': 'konu-lɑr-ɯn', 'ur': 'konu-lAr-Hn', 'predicted_sr': 'konu-lAr-In'}
{'sf': 'ʧɑlɯʃɑnlɑrɯ', 'freq': '419', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ʧɑlɯʃɑn-lɑr-ɯ', 'ur': 'ʧɑlɯʃɑn-lAr-H', 'predicted_sr': 'ʧɑlɯʃɑn-lAr-I'}
{'sf': 'diɰerleri', 'freq': '419', 'analysis': 'Stem-p3p', 'segmentation': 'diɰer-leri', 'ur': 'diɰer-lArH', 'predicted_sr': 'diɰer-lArI'}
{'sf': 'engeller', 'freq': '418', 'analysis': 'Stem-pl', 'segmentation': 'engel-ler', 'ur': 'engel-lAr', 'predicted_sr': 'engel-lAr'}
{'sf': 'kurulɑ', 'freq': '418', 'analysis': 'Stem-dat', 'segmentation': 'kurul-ɑ', 'ur': 'kurul-A', 'predicted_sr': 'kurul-A'}
{'sf': 'devletlerin', 'freq': '413', 'analysis': 'Stem-pl-gen', 'segmentation': 'devlet-ler-in', 'ur': 'devlet-lAr-Hn', 'predicted_sr': 'devlet-lAr-In'}
{'sf': 'jollɑr', 'freq': '413', 'analysis': 'Stem-pl', 'segmentation': 'jol-lɑr', 'ur': 'jol-lAr', 'predicted_sr': 'jol-lAr'}
{'sf': 'ɑʃɑɰɯɑ', 'freq': '410', 'analysis': 'Stem-dat', 'segmentation': 'ɑʃɑɰɯ-ɑ', 'ur': 'ɑʃɑɰɯ-A', 'predicted_sr': 'ɑʃɑɰɯ-A'}
{'sf': 'orɑɑ', 'freq': '410', 'analysis': 'Stem-dat', 'segmentation': 'orɑ-ɑ', 'ur': 'orɑ-A', 'predicted_sr': 'orɑ-A'}
{'sf': 'gørynʤe', 'freq': '409', 'analysis': 'Stem-cv:ince', 'segmentation': 'gør-ynʤe', 'ur': 'gør-HnʤA', 'predicted_sr': 'gør-UnʤA'}
{'sf': 'gøzleri', 'freq': '406', 'analysis': 'Stem-pl-p3s', 'segmentation': 'gøz-ler-i', 'ur': 'gøz-lAr-H', 'predicted_sr': 'gøz-lAr-I'}
{'sf': 'tɯklɑɑrɑk', 'freq': '406', 'analysis': 'Stem-la-cv:erek', 'segmentation': 'tɯk-lɑ-ɑrɑk', 'ur': 'tɯk-lA-ArAk', 'predicted_sr': 'tɯk-lA-ArAk'}
{'sf': 'ortɑmlɑrdɑ', 'freq': '405', 'analysis': 'Stem-pl-loc', 'segmentation': 'ortɑm-lɑr-dɑ', 'ur': 'ortɑm-lAr-dA', 'predicted_sr': 'ortɑm-lAr-dA'}
