SF	Word	Segmentation	Analysis	Freq
pirzolɑ	pirzola	pirzolɑ	Stem	2
ɑnneɑnne	anneanne	ɑnneɑnne	Stem	6
ʤɑnm	canım	ʤɑn-m	Stem-p1s	76
nɑsɯl	nasıl	nɑsɯl	Stem	228
jerde	yerde	jer-de	Stem-loc	6
neden	neden	neden	Stem	26
sen	sen	sen	Stem	535
ʃimdi	şimdi	ʃimdi	Stem	122
ne	ne	ne	Stem	1396
mɑjmun	maymun	mɑjmun	Stem	9
kɑfɑɯ	kafayı	kɑfɑ-ɯ	Stem-acc	2
ne	ne	ne	Stem	1396
gøz	göz	gøz	Stem	29
vɑpurɑ	vapura	vɑpur-ɑ	Stem-dat	3
pɯr	pır	pɯr	Stem	3
orɑdɑ	orada	orɑ-dɑ	Stem-loc	13
bu	bu	bu	Stem	613
hiʧ	hiç	hiʧ	Stem	41
ɑmɑ	ama	ɑmɑ	Stem	155
kediler	kediler	kedi-ler	Stem-pl	40
bɑʃkɑ	başka	bɑʃkɑ	Stem	140
hɑdi	hadi	hɑdi	Stem	226
ɑʃkm	aşkım	ɑʃk-m	Stem-p1s	35
bu	bu	bu	Stem	613
bu	bu	bu	Stem	613
kuʃlɑr	kuşlar	kuʃ-lɑr	Stem-pl	30
kyʧyk	küçük	kyʧyk	Stem	12
bu	bu	bu	Stem	613
ne	ne	ne	Stem	1396
tɑmɑm	tamam	tɑmɑm	Stem	116
ne	ne	ne	Stem	1396
jɑtsɯn	yatsın	jɑtsɯ-n	Stem-p2s	2
ben	ben	ben	Stem	175
ne	ne	ne	Stem	1396
bɑbɑ	baba	bɑbɑ	Stem	75
kedi	kedi	kedi	Stem	47
niʧin	niçin	niʧin	Stem	114
nei	nesi	ne-i	Stem-p3s	40
ne	ne	ne	Stem	1396
sen	sen	sen	Stem	535
hɑngii	hangisi	hɑngi-i	Stem-p3s	34
ne	ne	ne	Stem	1396
gyzel	güzel	gyzel	Stem	110
bir	bir	bir	Stem	210
burɑɯ	burası	burɑ-ɯ	Stem-p3s	11
efendim	efendim	efendi-m	Stem-p1s	53
biz	biz	biz	Stem	34
ben	ben	ben	Stem	175
ɑnnen	annen	ɑnne-n	Stem-p2s	69
sonrɑ	sonra	sonrɑ	Stem	79
sonrɑ	sonra	sonrɑ	Stem	79
neler	neler	ne-ler	Stem-pl	33
burɑɑ	buraya	burɑ-ɑ	Stem-dat	67
jɑvɑʃ	yavaş	jɑvɑʃ	Stem	11
burʧɑk	burçak	burʧɑk	Stem	119
peki	peki	peki	Stem	218
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
ɑh	ah	ɑh	Stem	17
nerei	neresi	nere-i	Stem-p3s	25
senin	senin	sen-in	Stem-gen	175
jɑzɯ	yazı	jɑzɯ	Stem	5
bir	bir	bir	Stem	210
neree	nereye	nere-e	Stem-dat	122
sɯrtmɑ	sırtıma	sɯrt-m-ɑ	Stem-p1s-dat	18
nɑsɯl	nasıl	nɑsɯl	Stem	228
burʧɑk	burçak	burʧɑk	Stem	119
senin	senin	sen-in	Stem-gen	175
kɑdɑr	kadar	kɑdɑr	Stem	17
sen	sen	sen	Stem	535
tɑmɑm	tamam	tɑmɑm	Stem	116
burun	burun	burun	Stem	15
dyn	dün	dyn	Stem	18
kɑʃ	kaş	kɑʃ	Stem	1
ɑferin	aferin	ɑferin	Stem	121
nei	nesi	ne-i	Stem-p3s	40
nɑsɯl	nasıl	nɑsɯl	Stem	228
nije	niye	nije	Stem	164
ojunlɑr	oyunlar	ojun-lɑr	Stem-pl	11
bozuk	bozuk	bozuk	Stem	1
evet	evet	evet	Stem	125
bu	bu	bu	Stem	613
ɑdɯ	adı	ɑd-ɯ	Stem-p3s	20
ne	ne	ne	Stem	1396
vɑr	var	vɑr	Stem	195
ne	ne	ne	Stem	1396
iki	iki	iki	Stem	28
ʧynky	çünkü	ʧynky	Stem	10
bu	bu	bu	Stem	613
kimi	kimi	kimi	Stem	14
nije	niye	nije	Stem	164
tɑmɑm	tamam	tɑmɑm	Stem	116
hiʧ	hiç	hiʧ	Stem	41
ɑnne	anne	ɑnne	Stem	64
resim	resim	resim	Stem	41
nije	niye	nije	Stem	164
bɑbɑ	baba	bɑbɑ	Stem	75
oturɑlɯm	oturalım	otur-ɑ-lɯ-m	Stem-cv:ye-li-p1s	3
hɑdi	hadi	hɑdi	Stem	226
sonrɑ	sonra	sonrɑ	Stem	79
bir	bir	bir	Stem	210
ɑmɑ	ama	ɑmɑ	Stem	155
nɑsɯl	nasıl	nɑsɯl	Stem	228
ʧizei	çizeyi	ʧiz-e-i	Stem-cv:ye-acc	8
koj	koy	koj	Stem	79
ne	ne	ne	Stem	1396
tɑrɑfɑ	tarafa	tɑrɑf-ɑ	Stem-dat	7
gyzel	güzel	gyzel	Stem	110
kim	kim	kim	Stem	239
bɑbɑn	baban	bɑbɑ-n	Stem-p2s	37
sen	sen	sen	Stem	535
seni	seni	sen-i	Stem-acc	47
kimn	kimin	kim-n	Stem-p2s	15
ʃimdi	şimdi	ʃimdi	Stem	122
ben	ben	ben	Stem	175
ʃimdi	şimdi	ʃimdi	Stem	122
sen	sen	sen	Stem	535
jɑz	yaz	jɑz	Stem	22
senin	senin	sen-in	Stem-gen	175
nɑsɯl	nasıl	nɑsɯl	Stem	228
elmde	elimde	el-m-de	Stem-p1s-loc	4
trɑfik	trafik	trɑfik	Stem	4
kim	kim	kim	Stem	239
ʃu	şu	ʃu	Stem	26
sen	sen	sen	Stem	535
vɑr	var	vɑr	Stem	195
ʃimdi	şimdi	ʃimdi	Stem	122
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
domuz	domuz	domuz	Stem	6
bɑʃkɑ	başka	bɑʃkɑ	Stem	140
ɑmɑ	ama	ɑmɑ	Stem	155
sen	sen	sen	Stem	535
kɑnɑtlɑr	kanatlar	kɑnɑt-lɑr	Stem-pl	3
tɑʃ	taş	tɑʃ	Stem	7
bu	bu	bu	Stem	613
eskiden	eskiden	eskiden	Stem	2
bir	bir	bir	Stem	210
ne	ne	ne	Stem	1396
ʃimdi	şimdi	ʃimdi	Stem	122
nerei	neresi	nere-i	Stem-p3s	25
ne	ne	ne	Stem	1396
peki	peki	peki	Stem	218
bir	bir	bir	Stem	210
koj	koy	koj	Stem	79
peki	peki	peki	Stem	218
uʧɑk	uçak	uʧɑk	Stem	15
ʧizei	çizeyi	ʧiz-e-i	Stem-cv:ye-acc	8
bebeklere	bebeklere	bebek-ler-e	Stem-pl-dat	8
ne	ne	ne	Stem	1396
birʃej	birşey	birʃej	Stem	58
ɑnnene	annene	ɑnne-n-e	Stem-p2s-dat	4
burɑɑ	buraya	burɑ-ɑ	Stem-dat	67
øjle	öyle	øjle	Stem	51
sɑbɑhlejin	sabahleyin	sɑbɑhlejin	Stem	5
jyzer	yüzer	jyz-er	Stem-dist	13
sen	sen	sen	Stem	535
sen	sen	sen	Stem	535
bɑlɯklɑrɯ	balıkları	bɑlɯk-lɑr-ɯ	Stem-pl-p3s	3
senin	senin	sen-in	Stem-gen	175
iʃte	işte	iʃte	Stem	51
iʧin	için	iʧin	Stem	25
zɑmɑn	zaman	zɑmɑn	Stem	135
hɑ	ha	hɑ	Stem	44
ojunʤɑklɑr	oyuncaklar	ojunʤɑk-lɑr	Stem-pl	5
hiʧ	hiç	hiʧ	Stem	41
koj	koy	koj	Stem	79
bir	bir	bir	Stem	210
orɑɑ	oraya	orɑ-ɑ	Stem-dat	24
nɑsɯl	nasıl	nɑsɯl	Stem	228
hiʧbirʃej	hiçbirşey	hiʧbirʃej	Stem	4
burɑɯ	burası	burɑ-ɯ	Stem-p3s	11
ɑnneiin	annesinin	ɑnne-i-in	Stem-p3s-gen	5
birɑz	biraz	birɑz	Stem	40
kojunʤɑ	koyunca	koj-unʤɑ	Stem-cv:ince	2
peki	peki	peki	Stem	218
he	he	he	Stem	2
sɑpɯ	sapı	sɑp-ɯ	Stem-p3s	3
syt	süt	syt	Stem	25
ne	ne	ne	Stem	1396
vɑr	var	vɑr	Stem	195
hɑdi	hadi	hɑdi	Stem	226
birɑz	biraz	birɑz	Stem	40
burɑɑ	buraya	burɑ-ɑ	Stem-dat	67
bɑbɑɯn	babanın	bɑbɑ-ɯn	Stem-gen	8
hɑ	ha	hɑ	Stem	44
niʧin	niçin	niʧin	Stem	114
hɑdi	hadi	hɑdi	Stem	226
tejze	teyze	tejze	Stem	19
ɑnne	anne	ɑnne	Stem	64
mɑmɑ	mama	mɑmɑ	Stem	44
ɑnne	anne	ɑnne	Stem	64
ne	ne	ne	Stem	1396
bu	bu	bu	Stem	613
nɑsɯl	nasıl	nɑsɯl	Stem	228
pɑzɑr	pazar	pɑzɑr	Stem	1
evde	evde	ev-de	Stem-loc	40
ben	ben	ben	Stem	175
de	de	de	Stem	95
bɑkɑlɯm	bakalım	bɑkɑlɯm	Stem	165
bu	bu	bu	Stem	613
dønyp	dönüp	døn-yp	Stem-cv:ip	1
resim	resim	resim	Stem	41
ʤerjɑn	ceryan	ʤerjɑn	Stem	2
ɑrkɑdɑʃɯn	arkadaşın	ɑrkɑdɑʃ-ɯn	Stem-gen	14
ne	ne	ne	Stem	1396
de	de	de	Stem	95
neree	nereye	nere-e	Stem-dat	122
gøz	göz	gøz	Stem	29
jijeʤek	yiyecek	jijeʤek	Stem	5
tɑmɑm	tamam	tɑmɑm	Stem	116
de	de	de	Stem	95
pɑrk	park	pɑrk	Stem	3
ɑt	at	ɑt	Stem	30
ɑferin	aferin	ɑferin	Stem	121
ne	ne	ne	Stem	1396
tulumbɑ	tulumba	tulumbɑ	Stem	1
bøjle	böyle	bøjle	Stem	79
iji	iyi	iji	Stem	14
ɑdɯn	adın	ɑd-ɯn	Stem-gen	8
sen	sen	sen	Stem	535
bu	bu	bu	Stem	613
buun	bunun	bu-un	Stem-gen	28
finʤɑn	fincan	finʤɑn	Stem	3
nerede	nerede	nere-de	Stem-loc	63
bu	bu	bu	Stem	613
senin	senin	sen-in	Stem-gen	175
bu	bu	bu	Stem	613
sen	sen	sen	Stem	535
neree	nereye	nere-e	Stem-dat	122
burʧɑk	burçak	burʧɑk	Stem	119
burʧɑk	burçak	burʧɑk	Stem	119
ʃɑkɑ	şaka	ʃɑkɑ	Stem	8
bøjle	böyle	bøjle	Stem	79
gyzel	güzel	gyzel	Stem	110
peki	peki	peki	Stem	218
bu	bu	bu	Stem	613
bɑkɑlɯm	bakalım	bɑkɑlɯm	Stem	165
kuʃlɑr	kuşlar	kuʃ-lɑr	Stem-pl	30
tɑmɑm	tamam	tɑmɑm	Stem	116
bebek	bebek	bebek	Stem	62
køty	kötü	køty	Stem	6
sen	sen	sen	Stem	535
ʃej	şey	ʃej	Stem	16
pɑrk	park	pɑrk	Stem	3
peki	peki	peki	Stem	218
bɑbɑ	baba	bɑbɑ	Stem	75
evet	evet	evet	Stem	125
ʃimdi	şimdi	ʃimdi	Stem	122
jol	yol	jol	Stem	12
ɑʃkm	aşkım	ɑʃk-m	Stem-p1s	35
kɯzm	kızım	kɯz-m	Stem-p1s	197
sen	sen	sen	Stem	535
ʧoʤuk	çocuk	ʧoʤuk	Stem	29
bɑkɑlɯm	bakalım	bɑkɑlɯm	Stem	165
kuʃ	kuş	kuʃ	Stem	21
bɑkɑlɯm	bakalım	bɑkɑlɯm	Stem	165
ʤiʤi	cici	ʤiʤi	Stem	33
ʤɑnm	canım	ʤɑn-m	Stem-p1s	76
iʃte	işte	iʃte	Stem	51
kɯzm	kızım	kɯz-m	Stem-p1s	197
iki	iki	iki	Stem	28
hɑdi	hadi	hɑdi	Stem	226
tejze	teyze	tejze	Stem	19
dɑ	da	dɑ	Stem	126
nɑsɯl	nasıl	nɑsɯl	Stem	228
seni	seni	sen-i	Stem-acc	47
bɑʃkɑ	başka	bɑʃkɑ	Stem	140
mɑvi	mavi	mɑvi	Stem	11
ɑnnen	annen	ɑnne-n	Stem-p2s	69
ɑmʤɑɑ	amcaya	ɑmʤɑ-ɑ	Stem-dat	4
ʧok	çok	ʧok	Stem	185
ojunʤɑklɑrɯ	oyuncakları	ojunʤɑk-lɑr-ɯ	Stem-pl-p3s	4
nefis	nefis	nefis	Stem	8
dɑ	da	dɑ	Stem	126
bɑʃkɑ	başka	bɑʃkɑ	Stem	140
ɑrtɯk	artık	ɑrtɯk	Stem	24
tɑk	tak	tɑk	Stem	16
bu	bu	bu	Stem	613
evet	evet	evet	Stem	125
sen	sen	sen	Stem	535
jerde	yerde	jer-de	Stem-loc	6
kime	kime	kim-e	Stem-dat	19
lytfen	lütfen	lytfen	Stem	31
neree	nereye	nere-e	Stem-dat	122
ɑmɑ	ama	ɑmɑ	Stem	155
ønʤe	önce	ønʤe	Stem	9
ne	ne	ne	Stem	1396
sen	sen	sen	Stem	535
ɑferin	aferin	ɑferin	Stem	121
kɑrgɑɯn	karganın	kɑrgɑ-ɯn	Stem-gen	3
bu	bu	bu	Stem	613
ses	ses	ses	Stem	4
ne	ne	ne	Stem	1396
mɑmɑ	mama	mɑmɑ	Stem	44
bu	bu	bu	Stem	613
ister	ister	ister	Stem	5
ne	ne	ne	Stem	1396
bɑlɯk	balık	bɑlɯk	Stem	27
bu	bu	bu	Stem	613
ɑʧɑlɯm	açalım	ɑʧ-ɑ-lɯ-m	Stem-cv:ye-li-p1s	6
ne	ne	ne	Stem	1396
uʧɑn	uçan	uʧ-ɑn	Stem-part:pres	4
ev	ev	ev	Stem	7
is	is	is	Stem	4
lytfen	lütfen	lytfen	Stem	31
nije	niye	nije	Stem	164
jemek	yemek	jemek	Stem	40
bu	bu	bu	Stem	613
boʃ	boş	boʃ	Stem	7
dɑ	da	dɑ	Stem	126
seni	seni	sen-i	Stem-acc	47
bebeklerin	bebeklerin	bebek-ler-in	Stem-pl-gen	4
kutu	kutu	kutu	Stem	6
ki	ki	ki	Stem	36
ne	ne	ne	Stem	1396
bu	bu	bu	Stem	613
bu	bu	bu	Stem	613
ɑmɑ	ama	ɑmɑ	Stem	155
sen	sen	sen	Stem	535
ne	ne	ne	Stem	1396
sɑʧ	saç	sɑʧ	Stem	7
ʧɯrpɑlɯm	çırpalım	ʧɯrp-ɑ-lɯ-m	Stem-cv:ye-li-p1s	1
dɑ	da	dɑ	Stem	126
bɑlon	balon	bɑlon	Stem	11
bɑbɑn	baban	bɑbɑ-n	Stem-p2s	37
evet	evet	evet	Stem	125
ne	ne	ne	Stem	1396
buun	bunun	bu-un	Stem-gen	28
kedi	kedi	kedi	Stem	47
et	et	et	Stem	7
bɑlɯklɑr	balıklar	bɑlɯk-lɑr	Stem-pl	18
bir	bir	bir	Stem	210
gezmee	gezmeye	gez-me-e	Stem-vn:inf-dat	8
hɑni	hani	hɑni	Stem	100
hɑni	hani	hɑni	Stem	100
ɑrtɯk	artık	ɑrtɯk	Stem	24
vɑr	var	vɑr	Stem	195
bɑlɯk	balık	bɑlɯk	Stem	27
bu	bu	bu	Stem	613
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
birʃej	birşey	birʃej	Stem	58
kime	kime	kim-e	Stem-dat	19
kɯzmɑ	kızıma	kɯz-m-ɑ	Stem-p1s-dat	45
biz	biz	biz	Stem	34
kim	kim	kim	Stem	239
ne	ne	ne	Stem	1396
kɯsɑ	kısa	kɯsɑ	Stem	3
niʧin	niçin	niʧin	Stem	114
iʃte	işte	iʃte	Stem	51
ne	ne	ne	Stem	1396
vɑr	var	vɑr	Stem	195
birʃeje	birşeye	birʃej-e	Stem-dat	2
ɑrɑbɑlɑr	arabalar	ɑrɑbɑ-lɑr	Stem-pl	19
ne	ne	ne	Stem	1396
tɑrɑf	taraf	tɑrɑf	Stem	1
myhim	mühim	myhim	Stem	1
bu	bu	bu	Stem	613
kɑdɑr	kadar	kɑdɑr	Stem	17
nɑsɯl	nasıl	nɑsɯl	Stem	228
hɑjɯr	hayır	hɑjɯr	Stem	54
ojunlɑrɯ	oyunları	ojun-lɑr-ɯ	Stem-pl-p3s	2
bɑlɯk	balık	bɑlɯk	Stem	27
ɑnne	anne	ɑnne	Stem	64
ʧoʤuklɑr	çocuklar	ʧoʤuk-lɑr	Stem-pl	52
ne	ne	ne	Stem	1396
sysly	süslü	sys-ly	Stem-li	1
ʧok	çok	ʧok	Stem	185
neden	neden	neden	Stem	26
ʧɯkɑr	çıkar	ʧɯkɑr	Stem	11
sen	sen	sen	Stem	535
burɑɯ	burası	burɑ-ɯ	Stem-p3s	11
ɑrɑbɑ	araba	ɑrɑbɑ	Stem	37
ne	ne	ne	Stem	1396
ɑnneler	anneler	ɑnne-ler	Stem-pl	1
zɑmɑn	zaman	zɑmɑn	Stem	135
bu	bu	bu	Stem	613
ne	ne	ne	Stem	1396
sɑnɑ	sana	sɑn-ɑ	Stem-dat	146
bɑʃkɑ	başka	bɑʃkɑ	Stem	140
oun	onun	o-un	Stem-gen	28
vɑpurɑ	vapura	vɑpur-ɑ	Stem-dat	3
hɑdi	hadi	hɑdi	Stem	226
jɑzɯk	yazık	jɑzɯk	Stem	25
dɑ	da	dɑ	Stem	126
burʧɑk	burçak	burʧɑk	Stem	119
bu	bu	bu	Stem	613
sɑrɯ	sarı	sɑrɯ	Stem	11
tren	tren	tren	Stem	5
ren	ren	re-n	Stem-p2s	30
bɑs	bas	bɑs	Stem	13
ʤiʤi	cici	ʤiʤi	Stem	33
ʧoʤuklɑr	çocuklar	ʧoʤuk-lɑr	Stem-pl	52
ɑrɑbɑ	araba	ɑrɑbɑ	Stem	37
bu	bu	bu	Stem	613
bir	bir	bir	Stem	210
bɑbɑn	baban	bɑbɑ-n	Stem-p2s	37
sɯrɑ	sıra	sɯrɑ	Stem	1
ɑslɯndɑ	aslında	ɑslɯndɑ	Stem	1
hɑɑ	haa	hɑɑ	Stem	9
evet	evet	evet	Stem	125
jyzme	yüzmek	jyz-me	Stem-vn:inf	1
hɑngii	hangisi	hɑngi-i	Stem-p3s	34
sɑrɯ	sarı	sɑrɯ	Stem	11
tejze	teyze	tejze	Stem	19
resmi	resmi	resmi	Stem	16
ɑnne	anne	ɑnne	Stem	64
ne	ne	ne	Stem	1396
buun	bunun	bu-un	Stem-gen	28
burɑdɑ	burada	burɑ-dɑ	Stem-loc	23
kojɑlɯm	koyalım	koj-ɑ-lɯ-m	Stem-cv:ye-li-p1s	16
bonʤuklɑrɯ	boncukları	bonʤuk-lɑr-ɯ	Stem-pl-p3s	5
ɑnne	anne	ɑnne	Stem	64
top	top	top	Stem	35
ɑferin	aferin	ɑferin	Stem	121
mɑmɑdɑn	mamadan	mɑmɑ-dɑn	Stem-abl	1
ne	ne	ne	Stem	1396
simitsiz	simitsiz	simit-siz	Stem-siz	2
ʧoʤuklɑr	çocuklar	ʧoʤuk-lɑr	Stem-pl	52
ɑferin	aferin	ɑferin	Stem	121
it	it	it	Stem	1
hiʧbirʃej	hiçbirşey	hiʧbirʃej	Stem	4
inek	inek	inek	Stem	8
tɑne	tane	tɑne	Stem	34
gyndyz	gündüz	gyndyz	Stem	8
ʧɑrpɑn	çarpan	ʧɑrp-ɑn	Stem-part:pres	10
ki	ki	ki	Stem	36
ne	ne	ne	Stem	1396
ne	ne	ne	Stem	1396
ojunu	oyunu	ojun-u	Stem-p3s	9
simitsiz	simitsiz	simit-siz	Stem-siz	2
bu	bu	bu	Stem	613
tɑmɑm	tamam	tɑmɑm	Stem	116
seni	seni	sen-i	Stem-acc	47
birʃej	birşey	birʃej	Stem	58
ʧɑj	çay	ʧɑj	Stem	7
resim	resim	resim	Stem	41
topu	topu	top-u	Stem-p3s	14
ne	ne	ne	Stem	1396
ɑjɑklɑrɯɯn	ayaklarının	ɑjɑk-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	1
ojun	oyun	ojun	Stem	16
nerei	neresi	nere-i	Stem-p3s	25
dolu	dolu	dolu	Stem	5
bɑbɑ	baba	bɑbɑ	Stem	75
nije	niye	nije	Stem	164
neree	nereye	nere-e	Stem-dat	122
bɑʃkɑ	başka	bɑʃkɑ	Stem	140
ne	ne	ne	Stem	1396
odɑdɑ	odada	odɑ-dɑ	Stem-loc	7
jɑz	yaz	jɑz	Stem	22
ben	ben	ben	Stem	175
bɑʃkɑ	başka	bɑʃkɑ	Stem	140
gøzy	gözü	gøz-y	Stem-p3s	5
neree	nereye	nere-e	Stem-dat	122
ytyler	ütüler	yty-ler	Stem-pl	8
ʧiftetelli	çiftetelli	ʧiftetelli	Stem	2
nije	niye	nije	Stem	164
ojnɑmɑ	oynamak	ojnɑ-mɑ	Stem-vn:inf	5
dyʃme	düşme	dyʃ-me	Stem-vn:inf	5
penʤere	pencere	penʤere	Stem	2
ne	ne	ne	Stem	1396
peki	peki	peki	Stem	218
ɑrkɑdɑʃɯn	arkadaşın	ɑrkɑdɑʃ-ɯn	Stem-gen	14
ne	ne	ne	Stem	1396
sen	sen	sen	Stem	535
neden	neden	neden	Stem	26
ʃimdi	şimdi	ʃimdi	Stem	122
jyzme	yüzüme	jyz-m-e	Stem-p1s-dat	3
bu	bu	bu	Stem	613
nɑsɯl	nasıl	nɑsɯl	Stem	228
mɑmɑ	mama	mɑmɑ	Stem	44
kɑnɑtlɑr	kanatlar	kɑnɑt-lɑr	Stem-pl	3
nɑsɯl	nasıl	nɑsɯl	Stem	228
evin	evin	ev-in	Stem-gen	22
