SF	Word	Segmentation	Analysis	Freq
hɑzɯrlɑr	hazırlar	hɑzɯr-lɑr	Stem-pl	397
metotlɑr	metotlar	metot-lɑr	Stem-pl	52
kɑjɯtlɑrdɑn	kayıtlardan	kɑjɯt-lɑr-dɑn	Stem-pl-abl	37
ɑz	az	ɑz	Stem	10001
olmɑmɑɯ	olmaması	ol-mɑ-mɑ-ɯ	Stem-neg-vn:inf-p3s	786
dɑ	da	dɑ	Stem	70573
geʧiʃ	geçiş	geʧ-iʃ	Stem-vn:yis	1294
modele	modele	model-e	Stem-dat	95
sonrɑ	sonra	sonrɑ	Stem	29350
ʤ	c	ʤ	Stem	5585
bir	bir	bir	Stem	249887
sonrɑ	sonra	sonrɑ	Stem	29350
byjyk	büyük	byjyk	Stem	22235
bu	bu	bu	Stem	182175
sefil	sefil	sefil	Stem	25
kɑjnɑktɑn	kaynaktan	kɑjnɑk-tɑn	Stem-abl	136
sɑjɯn	sayın	sɑjɯn	Stem	2779
ølʧym	ölçüm	ølʧym	Stem	473
sɑnɑjii	sanayii	sɑnɑji-i	Stem-p3s	668
ɯ	ı	ɯ	Stem	1974
bɑʃkɑn	başkan	bɑʃkɑn	Stem	3596
hɑrekete	harekete	hɑreket-e	Stem-dat	815
ønemi	önemi	ønem-i	Stem-p3s	1586
ɑmɑ	ama	ɑmɑ	Stem	12070
m	m	m	Stem	5309
boju	boyu	boj-u	Stem-p3s	1041
jɑptɯklɑrɯ	yaptıkları	jɑp-tɯk-lɑrɯ	Stem-part:past-p3p	1042
o	o	o	Stem	21184
emin	emin	emin	Stem	1179
insylin	insülin	insylin	Stem	156
kɑndɑ	kanda	kɑn-dɑ	Stem-loc	161
hɑstɑlɑr	hastalar	hɑstɑ-lɑr	Stem-pl	900
bir	bir	bir	Stem	249887
bɑʃkɑn	başkan	bɑʃkɑn	Stem	3596
bu	bu	bu	Stem	182175
bir	bir	bir	Stem	249887
ʃekilde	şekilde	ʃekil-de	Stem-loc	12842
tɑmɑmen	tamamen	tɑmɑmen	Stem	2856
engeller	engeller	engel-ler	Stem-pl	418
mɑruz	maruz	mɑruz	Stem	1032
sɑdeʤe	sadece	sɑdeʤe	Stem	10115
ʧɑlɯʃmɑɯn	çalışmanın	ʧɑlɯʃ-mɑ-ɯn	Stem-vn:inf-gen	668
mutlɑkɑ	mutlaka	mutlɑkɑ	Stem	2161
geʧ	geç	geʧ	Stem	2138
jɯl	yıl	jɯl	Stem	12079
doɰɑl	doğal	doɰɑl	Stem	3272
jeniden	yeniden	jeniden	Stem	6078
kɑjseri	kayseri	kɑjser-i	Stem-acc	534
yʧnʤy	üçüncü	yʧ-nʤy	Stem-ord	2453
tɯp	tıp	tɯp	Stem	3138
mɑjɯs	mayıs	mɑjɯs	Stem	2532
køty	kötü	køty	Stem	2477
hɑzine	hazine	hɑzine	Stem	694
birimleri	birimleri	birim-ler-i	Stem-pl-p3s	556
mirɑs	miras	mirɑs	Stem	301
ek	ek	ek	Stem	3922
gørynymy	görünümü	gørynym-y	Stem-p3s	321
milletmizi	milletimizi	millet-miz-i	Stem-p1p-acc	50
dyʃmete	düşmekte	dyʃ-me-te	Stem-vn:inf-loc	29
gøze	göze	gøz-e	Stem-dat	553
bir	bir	bir	Stem	249887
mylk	mülk	mylk	Stem	203
serdɑr	serdar	serdɑr	Stem	223
ve	ve	ve	Stem	410082
b	b	b	Stem	6575
bile	bile	bile	Stem	6823
ɑdɑmɯ	adamı	ɑdɑm-ɯ	Stem-p3s	484
deɰiʃiklikler	değişiklikler	deɰiʃik-lik-ler	Stem-lik-pl	1169
sɑdeʤe	sadece	sɑdeʤe	Stem	10115
vejɑ	veya	vejɑ	Stem	35728
olɑn	olan	ol-ɑn	Stem-part:pres	42598
bu	bu	bu	Stem	182175
ɑtɯlɑn	atılan	ɑtɯl-ɑn	Stem-part:pres	329
jɑʃtɑn	yaştan	jɑʃ-tɑn	Stem-abl	77
genel	genel	genel	Stem	18204
bɑz	baz	bɑz	Stem	468
dɑjɑnɯm	dayanım	dɑjɑnɯm	Stem	61
gibi	gibi	gibi	Stem	32871
teʃekkyr	teşekkür	teʃekkyr	Stem	1470
deniz	deniz	deniz	Stem	3343
olumsuzluk	olumsuzluk	olumsuz-luk	Stem-lik	42
tɑbloun	tablonun	tɑblo-un	Stem-gen	164
ve	ve	ve	Stem	410082
jeni	yeni	jeni	Stem	23280
kodlɑrɯ	kodları	kod-lɑr-ɯ	Stem-pl-p3s	202
ønʤei	öncesi	ønʤe-i	Stem-p3s	1442
dergii	dergisi	dergi-i	Stem-p3s	1968
ɑʧɯklɯk	açıklık	ɑʧɯk-lɯk	Stem-lik	279
jɑtɯrɯmlɑrɯ	yatırımları	jɑtɯrɯm-lɑr-ɯ	Stem-pl-p3s	405
elektrolit	elektrolit	elektrolit	Stem	58
bøjle	böyle	bøjle	Stem	6583
ve	ve	ve	Stem	410082
veteriner	veteriner	veteriner	Stem	684
ve	ve	ve	Stem	410082
bɑʃtɑ	başta	bɑʃ-tɑ	Stem-loc	1527
pompɑ	pompa	pompɑ	Stem	181
tespit	tespit	tespit	Stem	4172
ege	ege	ege	Stem	1247
olɑn	olan	ol-ɑn	Stem-part:pres	42598
dɑhɑ	daha	dɑhɑ	Stem	45708
hɑstɑlɑrdɑ	hastalarda	hɑstɑ-lɑr-dɑ	Stem-pl-loc	1204
jykleniʤi	yüklenici	jyk-len-iʤi	Stem-lan-yici	172
temsile	temsile	temsil-e	Stem-dat	25
ve	ve	ve	Stem	410082
ɑnkete	ankete	ɑnket-e	Stem-dat	93
jɑlnɯz	yalnız	jɑlnɯz	Stem	2106
gyny	günü	gyn-y	Stem-p3s	5625
jɑpmɑ	yapmak	jɑp-mɑ	Stem-vn:inf	4122
deme	demek	de-me	Stem-vn:inf	1416
eski	eski	eski	Stem	5794
dɑ	da	dɑ	Stem	70573
gɑzetein	gazetenin	gɑzete-in	Stem-gen	170
efendi	efendi	efendi	Stem	614
mɑkinɑ	makina	mɑkinɑ	Stem	1178
ʃejin	şeyin	ʃej-in	Stem-gen	546
zɑmɑnmɯz	zamanımız	zɑmɑn-mɯz	Stem-p1p	34
en	en	en	Stem	39710
okur	okur	okur	Stem	247
zorluk	zorluk	zor-luk	Stem-lik	251
burɑdɑ	burada	burɑ-dɑ	Stem-loc	6052
kɑjnɑklɑrɯ	kaynakları	kɑjnɑk-lɑr-ɯ	Stem-pl-p3s	1560
dolɑjɯ	dolayı	dolɑjɯ	Stem	2832
sonrɑ	sonra	sonrɑ	Stem	29350
deɰiʃik	değişik	deɰiʃik	Stem	3442
de	de	de	Stem	62501
ɑrkɑdɑʃlɑrmɑ	arkadaşlarıma	ɑrkɑdɑʃ-lɑr-m-ɑ	Stem-pl-p1s-dat	80
vejɑ	veya	vejɑ	Stem	35728
mydɑhɑle	müdahale	mydɑhɑle	Stem	999
gerekse	gerekse	gerekse	Stem	1480
kɑrɑn	karan	kɑr-ɑn	Stem-part:pres	42
ilɑʧlɑrɯn	ilaçların	ilɑʧ-lɑr-ɯn	Stem-pl-gen	321
ɑj	ay	ɑj	Stem	5374
pek	pek	pek	Stem	4764
ve	ve	ve	Stem	410082
ve	ve	ve	Stem	410082
hizmet	hizmet	hizmet	Stem	7969
jykselmee	yükselmeye	jyksel-me-e	Stem-vn:inf-dat	63
ve	ve	ve	Stem	410082
en	en	en	Stem	39710
lise	lise	lise	Stem	987
ɑj	ay	ɑj	Stem	5374
vejɑ	veya	vejɑ	Stem	35728
sɑjfɑlɑrɯɯn	sayfalarının	sɑjfɑ-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	65
ve	ve	ve	Stem	410082
hekim	hekim	hekim	Stem	1266
ɑlmɑ	almak	ɑl-mɑ	Stem-vn:inf	3506
teknik	teknik	teknik	Stem	6014
sonrɑ	sonra	sonrɑ	Stem	29350
ʧok	çok	ʧok	Stem	44655
gyvenlik	güvenlik	gyvenlik	Stem	3921
ɯrɑn	ıran	ɯrɑ-n	Stem-p2s	442
hɑftɑ	hafta	hɑftɑ	Stem	2708
pijɑsɑɯ	piyasası	pijɑsɑ-ɯ	Stem-p3s	367
formyly	formülü	formyl-y	Stem-p3s	150
olɑn	olan	ol-ɑn	Stem-part:pres	42598
pɑftɑ	pafta	pɑftɑ	Stem	149
etme	etme	et-me	Stem-vn:inf	1388
ylke	ülke	ylke	Stem	3668
kullɑnɯʤɯ	kullanıcı	kul-lɑn-ɯʤɯ	Stem-lan-yici	2079
girdikten	girdikten	gir-dik-ten	Stem-vn:past-abl	132
ders	ders	ders	Stem	4281
bu	bu	bu	Stem	182175
ihɑleler	ihaleler	ihɑle-ler	Stem-pl	54
ile	ile	ile	Stem	91917
bu	bu	bu	Stem	182175
olmɑksɯzɯn	olmaksızın	ol-mɑksɯzɯn	Stem-cv:meksizin	549
hizmet	hizmet	hizmet	Stem	7969
sɑɰlɯk	sağlık	sɑɰlɯk	Stem	9402
hɯzɯ	hızı	hɯz-ɯ	Stem-p3s	914
inʤelemeleri	incelemeleri	inʤele-me-ler-i	Stem-vn:inf-pl-acc	130
teknik	teknik	teknik	Stem	6014
referɑnslɑr	referanslar	referɑns-lɑr	Stem-pl	110
byjyme	büyüme	byjy-me	Stem-vn:inf	1102
suʧ	suç	suʧ	Stem	1195
ormɑn	orman	ormɑn	Stem	1846
ve	ve	ve	Stem	410082
dɑhɑ	daha	dɑhɑ	Stem	45708
mɑddelerin	maddelerin	mɑdde-ler-in	Stem-pl-gen	753
jeterlik	yeterlik	jeterlik	Stem	678
bu	bu	bu	Stem	182175
jɑkɯndɑn	yakından	jɑkɯn-dɑn	Stem-abl	982
kiʃiin	kişinin	kiʃi-in	Stem-gen	2572
binɑ	bina	binɑ	Stem	1421
sistem	sistem	sistem	Stem	4099
iki	iki	iki	Stem	18258
mymkyn	mümkün	mymkyn	Stem	5493
jɑmɑ	yama	jɑmɑ	Stem	47
gibi	gibi	gibi	Stem	32871
poz	poz	poz	Stem	176
kɑpɑlɯ	kapalı	kɑpɑlɯ	Stem	1860
bir	bir	bir	Stem	249887
sɑɰlɑmɑ	sağlama	sɑɰlɑ-mɑ	Stem-vn:inf	276
ve	ve	ve	Stem	410082
ʧiftʧi	çiftçi	ʧiftʧi	Stem	221
ekonomik	ekonomik	ekonomik	Stem	6130
politikɑɯn	politikanın	politikɑ-ɯn	Stem-gen	96
bizden	bizden	biz-den	Stem-abl	531
bɑʃkɑnɯ	başkanı	bɑʃkɑn-ɯ	Stem-p3s	5439
øne	öne	øn-e	Stem-dat	1061
kɑree	kareye	kɑre-e	Stem-dat	33
olɑn	olan	ol-ɑn	Stem-part:pres	42598
byjyk	büyük	byjyk	Stem	22235
olmɑ	olmak	ol-mɑ	Stem-vn:inf	9416
sɑnɯk	sanık	sɑnɯk	Stem	255
jyksek	yüksek	jyksek	Stem	13663
bilgi	bilgi	bilgi	Stem	14026
ɑteʃ	ateş	ɑteʃ	Stem	1140
doɰɑn	doğan	doɰ-ɑn	Stem-part:pres	1371
beledije	belediye	beledije	Stem	3706
sɯnɯf	sınıf	sɯnɯf	Stem	1653
ve	ve	ve	Stem	410082
ve	ve	ve	Stem	410082
ve	ve	ve	Stem	410082
bir	bir	bir	Stem	249887
sesli	sesli	ses-li	Stem-li	384
jɑkɯnlɑʃmɑ	yakınlaşma	jɑkɯn-lɑʃ-mɑ	Stem-las-vn:inf	39
iʧin	için	iʧin	Stem	87024
yje	üye	yje	Stem	4588
ve	ve	ve	Stem	410082
resmi	resmi	resmi	Stem	3432
hɑsɑr	hasar	hɑsɑr	Stem	829
kɑtkɯ	katkı	kɑtkɯ	Stem	1070
bɑhʃiʃ	bahşiş	bɑhʃiʃ	Stem	116
sene	sene	sene	Stem	1640
bir	bir	bir	Stem	249887
uluslɑrɑrɑsɯ	uluslararası	ulus-lɑr-ɑrɑsɯ	Stem-pl-arasi	4727
k	k	k	Stem	2821
kontrol	kontrol	kontrol	Stem	6198
ve	ve	ve	Stem	410082
teknikleri	teknikleri	teknik-ler-i	Stem-pl-p3s	1041
sɑjɯdɑ	sayıda	sɑjɯ-dɑ	Stem-loc	2387
sɑntrɑl	santral	sɑntrɑl	Stem	604
m	m	m	Stem	5309
bir	bir	bir	Stem	249887
ɑmɑ	ama	ɑmɑ	Stem	12070
en	en	en	Stem	39710
hɑklɑrɯ	hakları	hɑk-lɑr-ɯ	Stem-pl-p3s	2801
de	de	de	Stem	62501
bir	bir	bir	Stem	249887
jɑn	yan	jɑn	Stem	1950
dɑ	da	dɑ	Stem	70573
bu	bu	bu	Stem	182175
iʧin	için	iʧin	Stem	87024
kɑpsɑɑn	kapsayan	kɑpsɑ-ɑn	Stem-part:pres	619
kɑrijer	kariyer	kɑrijer	Stem	286
ørgytyn	örgütün	ørgyt-yn	Stem-gen	279
jyz	yüz	jyz	Stem	1432
tɑrihli	tarihli	tɑrih-li	Stem-li	991
kɑrtɑl	kartal	kɑrtɑl	Stem	438
veri	veri	veri	Stem	3541
ɑn	an	ɑn	Stem	2115
gemi	gemi	gemi	Stem	585
mydɑhɑle	müdahale	mydɑhɑle	Stem	999
ɑmɑʧlɯ	amaçlı	ɑmɑʧ-lɯ	Stem-li	1186
itirɑz	itiraz	itirɑz	Stem	934
proʒei	projesi	proʒe-i	Stem-p3s	1823
ɑnʤɑk	ancak	ɑnʤɑk	Stem	19398
yʧ	üç	yʧ	Stem	8080
hɑftɑdɑ	haftada	hɑftɑ-dɑ	Stem-loc	688
beledije	belediye	beledije	Stem	3706
komutlɑrɯ	komutları	komut-lɑr-ɯ	Stem-pl-p3s	183
gyzel	güzel	gyzel	Stem	4853
iliʃkiler	ilişkiler	iliʃki-ler	Stem-pl	788
ile	ile	ile	Stem	91917
tel	tel	tel	Stem	8775
ɑʃɑmɑɯ	aşaması	ɑʃɑmɑ-ɯ	Stem-p3s	196
en	en	en	Stem	39710
fɑɑlijetleri	faaliyetleri	fɑɑlijet-ler-i	Stem-pl-p3s	1059
ve	ve	ve	Stem	410082
devleti	devleti	devlet-i	Stem-p3s	1183
otomɑtik	otomatik	otomɑtik	Stem	2944
ɑʧɯkøɰretim	açıköğretim	ɑʧɯkøɰretim	Stem	119
kɑhverengi	kahverengi	kɑhverengi	Stem	245
birejlerin	bireylerin	birej-ler-in	Stem-pl-gen	377
ekonomik	ekonomik	ekonomik	Stem	6130
jerler	yerler	jer-ler	Stem-pl	791
de	de	de	Stem	62501
tɑbii	tabii	tɑbii	Stem	2366
sonundɑ	sonunda	sonundɑ	Stem	4400
bilimsel	bilimsel	bilim-sel	Stem-sal	2689
vɑr	var	vɑr	Stem	11381
ilgili	ilgili	ilgi-li	Stem-li	21157
dikkɑte	dikkate	dikkɑt-e	Stem-dat	2006
kɑrɑrlɑr	kararlar	kɑrɑr-lɑr	Stem-pl	886
kiʃilik	kişilik	kiʃilik	Stem	1545
pik	pik	pik	Stem	60
teklif	teklif	teklif	Stem	1575
de	de	de	Stem	62501
seni	seni	sen-i	Stem-acc	957
devlet	devlet	devlet	Stem	7291
tedɑrikʧi	tedarikçi	tedɑrik-ʧi	Stem-ci	74
iʧin	için	iʧin	Stem	87024
toplum	toplum	toplum	Stem	2837
sijɑset	siyaset	sijɑset	Stem	768
istekte	istekte	istek-te	Stem-loc	46
resim	resim	resim	Stem	1993
kez	kez	kez	Stem	4692
tɑrɑflɯ	taraflı	tɑrɑf-lɯ	Stem-li	370
devrim	devrim	devrim	Stem	339
senee	seneye	sene-e	Stem-dat	102
dyzej	düzey	dyzej	Stem	550
iʧin	için	iʧin	Stem	87024
merkezlerden	merkezlerden	merkez-ler-den	Stem-pl-abl	30
lobi	lobi	lobi	Stem	82
hizmetleri	hizmetleri	hizmet-ler-i	Stem-pl-p3s	3426
kɑjnɑklɑr	kaynaklar	kɑjnɑk-lɑr	Stem-pl	849
denetʧi	denetçi	denetʧi	Stem	227
mɑsɑɯn	masanın	mɑsɑ-ɯn	Stem-gen	98
kɑlɯn	kalın	kɑlɯn	Stem	545
bu	bu	bu	Stem	182175
bir	bir	bir	Stem	249887
konuu	konusu	konu-u	Stem-p3s	5191
ʧɑlɯʃmɑlɑr	çalışmalar	ʧɑlɯʃ-mɑ-lɑr	Stem-vn:inf-pl	2867
hizmet	hizmet	hizmet	Stem	7969
geʧerek	geçerek	geʧ-erek	Stem-cv:erek	454
kɑtkɯɯ	katkısı	kɑtkɯ-ɯ	Stem-p3s	405
hɑreket	hareket	hɑreket	Stem	4096
orɑnlɑrɯ	oranları	orɑn-lɑr-ɯ	Stem-pl-p3s	654
sonrɑ	sonra	sonrɑ	Stem	29350
iʃlemʤili	işlemcili	iʃlemʤi-li	Stem-li	61
ɑjnɯ	aynı	ɑjnɯ	Stem	14697
de	de	de	Stem	62501
oun	onun	o-un	Stem-gen	4669
insɑnɯɯn	insanının	insɑn-ɯ-ɯn	Stem-p3s-gen	174
kɑrʃɯn	karşın	kɑrʃɯn	Stem	1266
dɑvrɑnɯʃ	davranış	dɑvrɑn-ɯʃ	Stem-vn:yis	711
kɑrdeʃi	kardeşi	kɑrdeʃ-i	Stem-p3s	260
mevʤut	mevcut	mevʤut	Stem	4586
gøryʃen	görüşen	gøryʃ-en	Stem-part:pres	54
uzɑtɯp	uzatıp	uzɑt-ɯp	Stem-cv:ip	33
toplɑntɯ	toplantı	toplɑntɯ	Stem	1827
øɰle	öğle	øɰle	Stem	454
diferɑnsijel	diferansiyel	diferɑnsijel	Stem	192
idɑre	idare	idɑre	Stem	1317
iʧin	için	iʧin	Stem	87024
terk	terk	terk	Stem	867
okul	okul	okul	Stem	2875
gelmee	gelmeye	gel-me-e	Stem-vn:inf-dat	191
o	o	o	Stem	21184
ve	ve	ve	Stem	410082
her	her	her	Stem	37829
olɑn	olan	ol-ɑn	Stem-part:pres	42598
syrekli	sürekli	syrekli	Stem	4621
byjyk	büyük	byjyk	Stem	22235
elde	elde	el-de	Stem-loc	6295
imzɑ	imza	imzɑ	Stem	1339
de	de	de	Stem	62501
sɑnɑt	sanat	sɑnɑt	Stem	2429
mymkyn	mümkün	mymkyn	Stem	5493
ve	ve	ve	Stem	410082
jɯllɑrɯ	yılları	jɯl-lɑr-ɯ	Stem-pl-p3s	765
jɑlnɯzʤɑ	yalnızca	jɑlnɯzʤɑ	Stem	2218
lɑstik	lastik	lɑstik	Stem	370
hɯzɯɯn	hızının	hɯz-ɯ-ɯn	Stem-p3s-gen	153
ve	ve	ve	Stem	410082
tɑkdir	takdir	tɑkdir	Stem	580
k	k	k	Stem	2821
ilʧelerde	ilçelerde	ilʧe-ler-de	Stem-pl-loc	157
ile	ile	ile	Stem	91917
jɑs	yas	jɑs	Stem	219
øɰrenʤiler	öğrenciler	øɰrenʤi-ler	Stem-pl	3469
bu	bu	bu	Stem	182175
dønem	dönem	dønem	Stem	2784
sulɑrdɑ	sularda	su-lɑr-dɑ	Stem-pl-loc	153
bir	bir	bir	Stem	249887
miljon	milyon	miljon	Stem	4703
bir	bir	bir	Stem	249887
ve	ve	ve	Stem	410082
mɑɰɑzɑ	mağaza	mɑɰɑzɑ	Stem	242
ɑmɑʧ	amaç	ɑmɑʧ	Stem	1653
kɑrɑ	kara	kɑrɑ	Stem	1479
jɑkɯnlɑrɯɯn	yakınlarının	jɑkɯn-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	120
bu	bu	bu	Stem	182175
sijɑsetʧi	siyasetçi	sijɑset-ʧi	Stem-ci	68
sɯnɯrsɯz	sınırsız	sɯnɯr-sɯz	Stem-siz	440
millijetʧi	milliyetçi	millijet-ʧi	Stem-ci	197
bɑɰlɑntɯlɑr	bağlantılar	bɑɰlɑntɯ-lɑr	Stem-pl	267
itibɑren	itibaren	itibɑren	Stem	4208
ve	ve	ve	Stem	410082
inmee	inmeye	inme-e	Stem-dat	26
gɑzete	gazete	gɑzete	Stem	1004
koju	koyu	koju	Stem	594
ʧɑlɯʃɑnlɑrɯn	çalışanların	ʧɑlɯʃɑn-lɑr-ɯn	Stem-pl-gen	666
kɑrʃɯ	karşı	kɑrʃɯ	Stem	9040
diʒitɑl	dijital	diʒitɑl	Stem	866
normɑl	normal	normɑl	Stem	2960
mɑdde	madde	mɑdde	Stem	16908
ɑskeri	askeri	ɑskeri	Stem	2242
hɑlen	halen	hɑlen	Stem	2710
gelen	gelen	gel-en	Stem-part:pres	8540
bølymleri	bölümleri	bølym-ler-i	Stem-pl-p3s	454
kɑtolik	katolik	kɑtolik	Stem	108
hekim	hekim	hekim	Stem	1266
