SF	Word	Segmentation	Analysis	Freq
geʤe	gece	geʤe	Stem	31
ɑɑ	aa	ɑɑ	Stem	31
buun	bunun	bu-un	Stem-gen	31
ojunlɑr	oyunlar	ojun-lɑr	Stem-pl	30
kimn	kimin	kim-n	Stem-p2s	30
eve	eve	ev-e	Stem-dat	30
orɑɑ	oraya	orɑ-ɑ	Stem-dat	30
jɑz	yaz	jɑz	Stem	29
kɑdɑr	kadar	kɑdɑr	Stem	29
yʧ	üç	yʧ	Stem	28
jɑvɑʃ	yavaş	jɑvɑʃ	Stem	28
ɑnnem	annem	ɑnne-m	Stem-p1s	28
jyzer	yüzer	jyz-er	Stem-dist	28
ɑllɑh	allah	ɑllɑh	Stem	28
dɯʃɑrɯɑ	dışarıya	dɯʃɑrɯ-ɑ	Stem-dat	27
sɑrɯ	sarı	sɑrɯ	Stem	27
kɯrmɯzɯ	kırmızı	kɯrmɯzɯ	Stem	27
ee	ee	ee	Stem	27
e	e	e	Stem	27
ojun	oyun	ojun	Stem	27
pek	pek	pek	Stem	26
ʃej	şey	ʃej	Stem	25
okulɑ	okula	okul-ɑ	Stem-dat	25
ɑblɑ	abla	ɑblɑ	Stem	25
kimi	kimi	kimi	Stem	25
gibi	gibi	gibi	Stem	25
dɑkikɑ	dakika	dɑkikɑ	Stem	24
sɑʧ	saç	sɑʧ	Stem	24
ɑh	ah	ɑh	Stem	24
ɑʧ	aç	ɑʧ	Stem	24
orɑɯ	orası	orɑ-ɯ	Stem-p3s	24
ɑdɯ	adı	ɑd-ɯ	Stem-p3s	23
iji	iyi	iji	Stem	23
lɑzɯm	lazım	lɑzɯm	Stem	23
orɑdɑ	orada	orɑ-dɑ	Stem-loc	22
ev	ev	ev	Stem	22
burɑɯ	burası	burɑ-ɯ	Stem-p3s	22
denize	denize	deniz-e	Stem-dat	22
mɑsɑl	masal	mɑsɑl	Stem	22
jɑpmɑ	yapma	jɑp-mɑ	Stem-vn:inf	22
sɑbɑh	sabah	sɑbɑh	Stem	22
nee	neye	ne-e	Stem-dat	22
okur	okur	okur	Stem	21
sende	sende	sen-de	Stem-loc	21
ɑ	a	ɑ	Stem	21
dimi	dimi	dimi	Stem	21
tejze	teyze	tejze	Stem	21
sɯrtmɑ	sırtıma	sɯrt-m-ɑ	Stem-p1s-dat	20
ɑkʃɑmlɑrɯ	akşamları	ɑkʃɑm-lɑr-ɯ	Stem-pl-p3s	20
en	en	en	Stem	20
bɑs	bas	bɑs	Stem	20
kojɑlɯm	koyalım	koj-ɑ-lɯ-m	Stem-cv:ye-li-p1s	20
resmi	resmi	resmi	Stem	20
ɑnnei	annesi	ɑnne-i	Stem-p3s	20
sokɑktɑ	sokakta	sokɑk-tɑ	Stem-loc	20
et	et	et	Stem	20
trɑktør	traktör	trɑktør	Stem	19
jere	yere	jer-e	Stem-dat	19
ɑrkɑdɑʃlɑrɯn	arkadaşların	ɑrkɑdɑʃ-lɑr-ɯn	Stem-pl-gen	19
ojunu	oyunu	ojun-u	Stem-p3s	19
sɯʤɑk	sıcak	sɯʤɑk	Stem	19
ɑrɑbɑlɑr	arabalar	ɑrɑbɑ-lɑr	Stem-pl	19
ɑkʃɑm	akşam	ɑkʃɑm	Stem	19
pɑstɑ	pasta	pɑstɑ	Stem	18
kitɑp	kitap	kitɑp	Stem	18
ɑrɑbɑɯ	arabayı	ɑrɑbɑ-ɯ	Stem-acc	18
okuldɑ	okulda	okul-dɑ	Stem-loc	18
herhɑlde	herhalde	herhɑlde	Stem	18
kuʃun	kuşun	kuʃ-un	Stem-gen	18
jɑnmɑ	yanıma	jɑn-m-ɑ	Stem-p1s-dat	18
ɑrkɑdɑʃɯn	arkadaşın	ɑrkɑdɑʃ-ɯn	Stem-gen	18
tɑmir	tamir	tɑmir	Stem	18
denizde	denizde	deniz-de	Stem-loc	17
burun	burun	burun	Stem	17
uʧɑk	uçak	uʧɑk	Stem	17
bize	bize	biz-e	Stem-dat	17
gyndyz	gündüz	gyndyz	Stem	17
dørt	dört	dørt	Stem	17
ytyler	ütüler	yty-ler	Stem-pl	17
tɑk	tak	tɑk	Stem	17
ɑnnee	anneye	ɑnne-e	Stem-dat	17
kɑnɑtlɑrɯ	kanatları	kɑnɑt-lɑr-ɯ	Stem-pl-p3s	17
ʧynky	çünkü	ʧynky	Stem	17
ojunlɑrɯ	oyunları	ojun-lɑr-ɯ	Stem-pl-p3s	16
dɯʃɑrɯdɑ	dışarıda	dɯʃɑrɯ-dɑ	Stem-loc	16
ojunʤɑk	oyuncak	ojunʤɑk	Stem	16
kɑlem	kalem	kɑlem	Stem	16
hɯh	hıh	hɯh	Stem	16
øpyʤyk	öpücük	øpyʤyk	Stem	16
gɑzete	gazete	gɑzete	Stem	16
bɑbɑnɯ	babanı	bɑbɑ-n-ɯ	Stem-p2s-acc	16
gɑlibɑ	galiba	gɑlibɑ	Stem	16
iʧ	iç	iʧ	Stem	16
ɑtɑ	ata	ɑtɑ	Stem	16
pis	pis	pis	Stem	16
televizjon	televizyon	televizjon	Stem	15
bɑbɑɯn	babanın	bɑbɑ-ɯn	Stem-gen	15
kendi	kendi	kendi	Stem	15
ojnɑɑlɯm	oynayalım	ojnɑ-ɑ-lɯ-m	Stem-cv:ye-li-p1s	15
beʃ	beş	beʃ	Stem	15
iʃe	işe	iʃ-e	Stem-dat	15
ɑdɑm	adam	ɑdɑm	Stem	15
hɑv	hav	hɑv	Stem	15
kuzu	kuzu	kuzu	Stem	15
ɑnneɑnne	anneanne	ɑnneɑnne	Stem	15
ɑrɑbɑlɑrɯ	arabaları	ɑrɑbɑ-lɑr-ɯ	Stem-pl-p3s	15
vurmɑ	vurma	vur-mɑ	Stem-vn:inf	15
sɑbɑhlejin	sabahleyin	sɑbɑhlejin	Stem	15
evi	evi	ev-i	Stem-p3s	15
kulɑk	kulak	kulɑk	Stem	14
ʃɑrkɯ	şarkı	ʃɑrkɯ	Stem	14
hɑɑ	haa	hɑɑ	Stem	14
ɑlkɯʃ	alkış	ɑlkɯʃ	Stem	14
bɑbɑɯ	babası	bɑbɑ-ɯ	Stem-p3s	14
ʧiʧek	çiçek	ʧiʧek	Stem	14
ɑnnein	annenin	ɑnne-in	Stem-gen	14
senden	senden	sen-den	Stem-abl	14
dɯʃɑrɯ	dışarı	dɯʃɑrɯ	Stem	14
koʤɑmɑn	kocaman	koʤɑmɑn	Stem	14
sinemɑɑ	sinemaya	sinemɑ-ɑ	Stem-dat	14
mɑvi	mavi	mɑvi	Stem	13
ɑmʤɑ	amca	ɑmʤɑ	Stem	13
birɑzʤɯk	birazcık	birɑzʤɯk	Stem	13
nereden	nereden	nere-den	Stem-abl	13
bɑlɯklɑrɯ	balıkları	bɑlɯk-lɑr-ɯ	Stem-pl-p3s	13
køpryyn	köprünün	køpry-yn	Stem-gen	13
kɑrdeʃin	kardeşin	kɑrdeʃ-in	Stem-gen	13
jol	yol	jol	Stem	13
ʧɯkɑr	çıkar	ʧɯkɑr	Stem	13
bɑbɑɯ	babayı	bɑbɑ-ɯ	Stem-acc	13
kediin	kedinin	kedi-in	Stem-gen	13
hɑlɑn	halan	hɑlɑ-n	Stem-p2s	13
hɑjvɑnlɑrɯ	hayvanları	hɑjvɑn-lɑr-ɯ	Stem-pl-p3s	13
ʃøjle	şöyle	ʃøjle	Stem	13
iʃ	iş	iʃ	Stem	13
in	in	in	Stem	13
ʃurɑɑ	şuraya	ʃurɑ-ɑ	Stem-dat	13
sɑjɑlɯm	sayalım	sɑjɑ-lɯ-m	Stem-li-p1s	12
kɑʃɯk	kaşık	kɑʃɯk	Stem	12
ɑjɯ	ayı	ɑj-ɯ	Stem-p3s	12
tejzee	teyzeye	tejze-e	Stem-dat	12
belki	belki	belki	Stem	12
filɑn	filan	filɑn	Stem	12
ɑkɯllɯ	akıllı	ɑkɯl-lɯ	Stem-li	12
sɑɑt	saat	sɑɑt	Stem	12
bɑlon	balon	bɑlon	Stem	12
fɑlɑn	falan	fɑlɑn	Stem	12
inek	inek	inek	Stem	12
odɑdɑ	odada	odɑ-dɑ	Stem-loc	12
ɑnneni	anneni	ɑnne-n-i	Stem-p2s-acc	12
kedileri	kedileri	kedi-ler-i	Stem-pl-p3s	12
gelme	gelme	gel-me	Stem-vn:inf	12
jedi	yedi	jedi	Stem	12
otobys	otobüs	otobys	Stem	12
køty	kötü	køty	Stem	12
ɑnnei	anneyi	ɑnne-i	Stem-acc	12
gelinʤe	gelince	gel-inʤe	Stem-cv:ince	12
ʧoʤuklɑrɯ	çocukları	ʧoʤuk-lɑr-ɯ	Stem-pl-p3s	12
tɑ	ta	tɑ	Stem	12
tejp	teyp	tejp	Stem	12
hop	hop	hop	Stem	12
ters	ters	ters	Stem	12
gemi	gemi	gemi	Stem	12
ʧɑj	çay	ʧɑj	Stem	12
kuʃlɑrɯ	kuşları	kuʃ-lɑr-ɯ	Stem-pl-p3s	11
deniz	deniz	deniz	Stem	11
hep	hep	hep	Stem	11
ʃeker	şeker	ʃeker	Stem	11
kɑpɯɯ	kapısı	kɑpɯ-ɯ	Stem-p3s	11
her	her	her	Stem	11
hm	hm	hm	Stem	11
tɑrif	tarif	tɑrif	Stem	11
insɑnlɑr	insanlar	insɑn-lɑr	Stem-pl	11
ʤevɑp	cevap	ʤevɑp	Stem	11
deden	deden	dede-n	Stem-p2s	11
ønʤe	önce	ønʤe	Stem	11
dede	dede	dede	Stem	11
sɑʧmɯ	saçımı	sɑʧ-m-ɯ	Stem-p1s-acc	11
ʧorbɑ	çorba	ʧorbɑ	Stem	11
mijɑv	miyav	mijɑv	Stem	11
vɑpur	vapur	vɑpur	Stem	11
jɑlnɯz	yalnız	jɑlnɯz	Stem	11
di	di	di	Stem	11
tɑtlɯ	tatlı	tɑtlɯ	Stem	10
giderken	giderken	gider-ken	Stem-cv:ken	10
kuʤɑk	kucak	kuʤɑk	Stem	10
hem	hem	hem	Stem	10
jeni	yeni	jeni	Stem	10
nefis	nefis	nefis	Stem	10
ses	ses	ses	Stem	10
jɑpmɑ	yapmak	jɑp-mɑ	Stem-vn:inf	10
gene	gene	gen-e	Stem-dat	10
kere	kere	kere	Stem	10
ɑnneɑnnen	anneannen	ɑnneɑnne-n	Stem-p2s	10
birʃejler	birşeyler	birʃej-ler	Stem-pl	10
hɑjvɑn	hayvan	hɑjvɑn	Stem	10
kɑmjon	kamyon	kɑmjon	Stem	10
kedin	kedin	kedi-n	Stem-p2s	10
ɑnnene	annene	ɑnne-n-e	Stem-p2s-dat	10
ʧɑrpɑn	çarpan	ʧɑrp-ɑn	Stem-part:pres	10
mɑjmun	maymun	mɑjmun	Stem	10
ojnɑmɑ	oynamak	ojnɑ-mɑ	Stem-vn:inf	10
pɑrktɑ	parkta	pɑrk-tɑ	Stem-loc	10
olunʤɑ	olunca	ol-unʤɑ	Stem-cv:ince	10
erken	erken	erken	Stem	10
gezmee	gezmeye	gez-me-e	Stem-vn:inf-dat	10
zɑten	zaten	zɑten	Stem	10
temizler	temizler	temiz-ler	Stem-pl	9
bojɑ	boya	bojɑ	Stem	9
ojunʤɑklɑrɯn	oyuncakların	ojunʤɑk-lɑr-ɯn	Stem-pl-gen	9
te	te	te	Stem	9
hergyn	hergün	hergyn	Stem	9
teʃekkyr	teşekkür	teʃekkyr	Stem	9
gyneʃ	güneş	gyneʃ	Stem	9
ɑɑɑ	aaa	ɑɑɑ	Stem	9
keʧi	keçi	keʧi	Stem	9
kɯzmɯ	kızımı	kɯz-m-ɯ	Stem-p1s-acc	9
gelir	gelir	gelir	Stem	9
zor	zor	zor	Stem	9
gelin	gelin	gelin	Stem	9
ɑʃɑɰɯɑ	aşağıya	ɑʃɑɰɯ-ɑ	Stem-dat	9
jine	yine	jine	Stem	9
ɑtlɑr	atlar	ɑt-lɑr	Stem-pl	9
pɑrɑ	para	pɑrɑ	Stem	9
sinʤɑp	sincap	sinʤɑp	Stem	9
gøzy	gözü	gøz-y	Stem-p3s	9
size	size	siz-e	Stem-dat	9
ɑʃɑɰɯ	aşağı	ɑʃɑɰɯ	Stem	9
hɯzlɯ	hızlı	hɯz-lɯ	Stem-li	9
ʧɯkɑrmɑ	çıkarma	ʧɯkɑrmɑ	Stem	9
tɑrɑfɑ	tarafa	tɑrɑf-ɑ	Stem-dat	9
kurtlɑrɯ	kurtları	kurt-lɑr-ɯ	Stem-pl-p3s	9
tilkii	tilkiyi	tilki-i	Stem-acc	9
jɑrdɯm	yardım	jɑrdɯm	Stem	9
deme	demek	de-me	Stem-vn:inf	9
ɑɰbin	ağbin	ɑɰbi-n	Stem-p2s	9
ʧɑbuk	çabuk	ʧɑbuk	Stem	9
oɰlɑnɑ	oğlana	oɰlɑn-ɑ	Stem-dat	9
ɑmɑn	aman	ɑmɑn	Stem	9
tɑvʃɑn	tavşan	tɑvʃɑn	Stem	8
ɑjɯp	ayıp	ɑjɯp	Stem	8
pɑrk	park	pɑrk	Stem	8
dersin	dersin	ders-in	Stem-gen	8
køpry	köprü	køpry	Stem	8
pilli	pilli	pil-li	Stem-li	8
ɑɰɯz	ağız	ɑɰɯz	Stem	8
jeʃil	yeşil	jeʃil	Stem	8
dizelm	dizelim	dizel-m	Stem-p1s	8
gyn	gün	gyn	Stem	8
iʃi	işi	iʃ-i	Stem-acc	8
ɑjɑkkɑbɯ	ayakkabı	ɑjɑkkɑbɯ	Stem	8
ɑdɯn	adın	ɑd-ɯn	Stem-gen	8
ørdek	ördek	ørdek	Stem	8
jerde	yerde	jer-de	Stem-loc	8
ʧiʃ	çiş	ʧiʃ	Stem	8
jɑvrulɑrɯ	yavruları	jɑvru-lɑr-ɯ	Stem-pl-p3s	8
doɰum	doğum	doɰum	Stem	8
ɑɰɑʧ	ağaç	ɑɰɑʧ	Stem	8
ojunʤɑklɑrɯ	oyuncakları	ojunʤɑk-lɑr-ɯ	Stem-pl-p3s	8
jɑzɯ	yazı	jɑzɯ	Stem	8
tɑʃ	taş	tɑʃ	Stem	8
ɑltɯ	altı	ɑltɯ	Stem	8
sinemɑdɑ	sinemada	sinemɑ-dɑ	Stem-loc	8
kɑkɑ	kaka	kɑkɑ	Stem	8
bebeklere	bebeklere	bebek-ler-e	Stem-pl-dat	8
hɯm	hım	hɯm	Stem	8
hepi	hepsi	hep-i	Stem-p3s	8
bonʤuk	boncuk	bonʤuk	Stem	8
jɑni	yani	jɑni	Stem	8
eniʃten	enişten	eniʃte-n	Stem-p2s	8
hemen	hemen	hemen	Stem	8
demin	demin	demin	Stem	8
hɑj	hay	hɑj	Stem	8
kutuun	kutunun	kutu-un	Stem-gen	8
ɑʧɯk	açık	ɑʧɯk	Stem	8
domuz	domuz	domuz	Stem	8
ʃɑkɑ	şaka	ʃɑkɑ	Stem	8
tekrɑr	tekrar	tekrɑr	Stem	8
bebekler	bebekler	bebek-ler	Stem-pl	8
pɑrmɑk	parmak	pɑrmɑk	Stem	8
pembe	pembe	pembe	Stem	7
ɑlɑlɯm	alalım	ɑlɑ-lɯ-m	Stem-li-p1s	7
hɑjvɑnlɑr	hayvanlar	hɑjvɑn-lɑr	Stem-pl	7
ɑtmɑ	atma	ɑt-mɑ	Stem-vn:inf	7
sɑbun	sabun	sɑbun	Stem	7
elbise	elbise	elbise	Stem	7
sɯkɯ	sıkı	sɯkɯ	Stem	7
kutu	kutu	kutu	Stem	7
evvelɑ	evvela	evvelɑ	Stem	7
bɑri	bari	bɑri	Stem	7
søjleelim	söyleyelim	søjle-e-li-m	Stem-cv:ye-li-p1s	7
ojunʤɑklɑr	oyuncaklar	ojunʤɑk-lɑr	Stem-pl	7
geʧ	geç	geʧ	Stem	7
ruʒ	ruj	ruʒ	Stem	7
hoppɑ	hoppa	hoppɑ	Stem	7
bonʤuklɑrɯ	boncukları	bonʤuk-lɑr-ɯ	Stem-pl-p3s	7
ɑrɑdɑ	arada	ɑrɑ-dɑ	Stem-loc	7
konuʃɑlɯm	konuşalım	konuʃ-ɑ-lɯ-m	Stem-cv:ye-li-p1s	7
meselɑ	mesela	meselɑ	Stem	7
sɯk	sık	sɯk	Stem	7
ɑʧɑlɯm	açalım	ɑʧ-ɑ-lɯ-m	Stem-cv:ye-li-p1s	7
sɑʧlɑrɯn	saçların	sɑʧ-lɑr-ɯn	Stem-pl-gen	7
boʃ	boş	boʃ	Stem	7
kɑpɯ	kapı	kɑpɯ	Stem	7
ɑɰbi	ağbi	ɑɰbi	Stem	7
dɑndini	dandini	dɑndini	Stem	7
burɑdɑn	buradan	burɑ-dɑn	Stem-abl	7
hɑp	hap	hɑp	Stem	7
ytyy	ütüyü	yty-y	Stem-acc	7
tɑkɑlɯm	takalım	tɑkɑ-lɯ-m	Stem-li-p1s	7
ɑlo	alo	ɑlo	Stem	6
sɑkɯn	sakın	sɑkɯn	Stem	6
iʧeʤek	içecek	iʧ-eʤek	Stem-part:fut	6
kɑlkɯnʤɑ	kalkınca	kɑlk-ɯnʤɑ	Stem-cv:ince	6
zijɑnɯ	ziyanı	zijɑn-ɯ	Stem-p3s	6
øɰretmen	öğretmen	øɰretmen	Stem	6
gemiin	geminin	gemi-in	Stem-gen	6
kojmɑ	koyma	koj-mɑ	Stem-vn:inf	6
ister	ister	ister	Stem	6
ʃejler	şeyler	ʃej-ler	Stem-pl	6
kitɑplɑrɯ	kitapları	kitɑp-lɑr-ɯ	Stem-pl-p3s	6
konuʃ	konuş	kon-uʃ	Stem-vn:yis	6
neleri	neleri	ne-ler-i	Stem-pl-acc	6
jijeʤek	yiyecek	jijeʤek	Stem	6
bɑbɑɑnnen	babaannen	bɑbɑɑnne-n	Stem-p2s	6
kɑlemi	kalemi	kɑle-m-i	Stem-p1s-acc	6
polis	polis	polis	Stem	6
geʤeler	geceler	geʤe-ler	Stem-pl	6
zebrɑ	zebra	zebrɑ	Stem	6
ʧiʃin	çişin	ʧiʃ-in	Stem-gen	6
mersi	mersi	mersi	Stem	6
ʧekme	çekme	ʧek-me	Stem-vn:inf	6
jɑrɑ	yara	jɑrɑ	Stem	6
kɯsɑ	kısa	kɯsɑ	Stem	6
eski	eski	eski	Stem	6
geʧen	geçen	geʧ-en	Stem-part:pres	6
bindi	bindi	bindi	Stem	6
dɑns	dans	dɑns	Stem	6
pɑzulɑrɯn	pazuların	pɑzu-lɑr-ɯn	Stem-pl-gen	6
ɑdɑmɯn	adamın	ɑdɑm-ɯn	Stem-gen	6
bɑbɑɑnne	babaanne	bɑbɑɑnne	Stem	6
kuʃlɑrɑ	kuşlara	kuʃ-lɑr-ɑ	Stem-pl-dat	6
inekler	inekler	inek-ler	Stem-pl	6
sudɑn	sudan	su-dɑn	Stem-abl	6
geleʤek	gelecek	geleʤek	Stem	6
gøzleri	gözleri	gøz-ler-i	Stem-pl-p3s	6
terbijesiz	terbiyesiz	terbije-siz	Stem-siz	6
kedii	kediyi	kedi-i	Stem-acc	6
kɑʧtɑ	kaçta	kɑʧ-tɑ	Stem-loc	6
fɯrɯn	fırın	fɯrɯn	Stem	6
eh	eh	eh	Stem	6
simit	simit	simit	Stem	6
mɑsɑɯn	masanın	mɑsɑ-ɯn	Stem-gen	6
hiʧbirʃej	hiçbirşey	hiʧbirʃej	Stem	6
jerler	yerler	jer-ler	Stem-pl	6
fil	fil	fil	Stem	6
ʃemsije	şemsiye	ʃemsije	Stem	6
bɑhʧede	bahçede	bɑhʧe-de	Stem-loc	6
birgyn	birgün	birgyn	Stem	6
sɑʧlɑrɯ	saçları	sɑʧ-lɑr-ɯ	Stem-pl-p3s	6
dɑn	dan	dɑ-n	Stem-p2s	6
gitme	gitmek	git-me	Stem-vn:inf	6
eʃek	eşek	eʃek	Stem	6
gemie	gemiye	gemi-e	Stem-dat	6
kuʃlɑrɯn	kuşların	kuʃ-lɑr-ɯn	Stem-pl-gen	6
dyzgyn	düzgün	dyzgyn	Stem	6
kɑʃ	kaş	kɑʃ	Stem	6
ɑzɯʤɯk	azıcık	ɑzɯʤɯk	Stem	5
dyʃme	düşme	dyʃ-me	Stem-vn:inf	5
jemekleri	yemekleri	jemek-ler-i	Stem-pl-acc	5
motoru	motoru	motor-u	Stem-p3s	5
vɑpurun	vapurun	vɑpur-un	Stem-gen	5
sobɑ	soba	sobɑ	Stem	5
mɑjmunu	maymunu	mɑjmun-u	Stem-p3s	5
kɑdɯn	kadın	kɑdɯn	Stem	5
evleri	evleri	ev-ler-i	Stem-pl-acc	5
kɑpɯɯ	kapıyı	kɑpɯ-ɯ	Stem-acc	5
sudɑ	suda	su-dɑ	Stem-loc	5
ʃɑrɑp	şarap	ʃɑrɑp	Stem	5
hɑnɯm	hanım	hɑnɯm	Stem	5
kɯzmɯn	kızımın	kɯz-m-ɯn	Stem-p1s-gen	5
bojɑlɑrɯn	boyaların	bojɑ-lɑr-ɯn	Stem-pl-gen	5
bɑzɑn	bazan	bɑzɑn	Stem	5
trɑktøryn	traktörün	trɑktør-yn	Stem-gen	5
bɑjɑɰɯ	bayağı	bɑjɑɰɯ	Stem	5
vermem	vermem	ver-me-m	Stem-vn:inf-p1s	5
bɑhʧe	bahçe	bɑhʧe	Stem	5
ɑrɑbɑɑ	arabaya	ɑrɑbɑ-ɑ	Stem-dat	5
øbyr	öbür	øbyr	Stem	5
ʃurɑɯ	şurası	ʃurɑ-ɯ	Stem-p3s	5
jyksek	yüksek	jyksek	Stem	5
birlikte	birlikte	birlikte	Stem	5
tek	tek	tek	Stem	5
doɰru	doğru	doɰru	Stem	5
uzun	uzun	uzun	Stem	5
sɑkɯz	sakız	sɑkɯz	Stem	5
nej	ney	nej	Stem	5
hɑvɑ	hava	hɑvɑ	Stem	5
ɑtɯ	atı	ɑt-ɯ	Stem-p3s	5
ʧorbɑɯ	çorbası	ʧorbɑ-ɯ	Stem-p3s	5
futbol	futbol	futbol	Stem	5
misɑfir	misafir	misɑfir	Stem	5
sesin	sesin	ses-in	Stem-gen	5
tejzein	teyzenin	tejze-in	Stem-gen	5
geʤeleri	geceleri	geʤe-ler-i	Stem-pl-p3s	5
ʧukulɑtɑ	çukulata	ʧukulɑtɑ	Stem	5
tren	tren	tren	Stem	5
jɑlɑn	yalan	jɑlɑn	Stem	5
jɑtɯr	yatır	jɑtɯr	Stem	5
bɑnt	bant	bɑnt	Stem	5
kuvvetli	kuvvetli	kuvvet-li	Stem-li	5
pɑrʧɑ	parça	pɑrʧɑ	Stem	5
ʧɑtɯɯ	çatısı	ʧɑtɯ-ɯ	Stem-p3s	5
