Word,Frequency
helvacı,1
mısırcı,1
tepeden,2
çıkarmı,2
nereye,25
fırlatıyormuyum,1
ikimizin,1
topu,8
Sinana,1
aldık,24
atıyorum,9
atıyoruz,8
tekmeyle,1
atmasını,1
bilmiyor,4
öyle,91
atıyor,8
yere,16
düşürüyor,1
nerdeydi,1
yeri,8
burasımıydı,2
taşıyabilirmi,1
hangisi,9
binmesin,1
isterse,1
eşeğe,1
biner,7
buna,23
binsin,4
basıyor,4
nasıl,56
biniyor,5
ayağı,15
basmıyor,3
yüksekte,2
olmazki,2
ayakları,16
değiyor,1
yaparım,44
kalemle,20
çantamın,1
içinde,80
getiriyorum,4
götürüyorum,4
getirmiyorum,1
resim,18
aman,15
bunlarda,3
dursun,22
onun,87
üstünde,35
park,6
mı,69
durmasınlar,1
yolda,6
dursunlar,1
garaj,4
olsun,24
dur,57
çıkartma,1
bunları,58
koysam,1
zor,3
çıkar,13
kadar,53
garajımız,1
yapmasını,2
biliyorum,42
annemler,5
aldı,34
yapabildimmi,1
götürmedıler,1
götüreyimmi,1
penceresi,10
sizin,9
evdeki,3
pencereler,2
hemen,16
uyur,26
yemeden,1
yatıyorlar,10
onlar,87
başka,142
pencere,5
yapmaktan,1
sıkılırım,1
buralara,2
çatısı,5
yapacam,18
hiç,99
yapmazlar,6
süsleniyor,20
saçını,6
kıvırmıyor,1
gidiyor,101
kaldırdın,1
kalsın,7
ders,21
kaldıralım,4
Afiyle,2
çıktı,16
ütülemiyorlar,1
ya,109
zaman,65
ütülüyorlar,3
kimse,15
yerler,24
temizlenmiyor,1
süpürüyorlar,3
kirlettiğimiz,1
süpürgeyle,15
benzemiyor,1
resme,1
içerinin,1
kapanıyor,6
olmadı,9
şurdakilerden,1
oynayalımmı,4
şurdakilerlen,1
işe,22
uyumu,1
yiyim,1
veririz,1
olurmu,3
okumuyor,6
okuyor,38
uyandığı,1
çayını,1
içmiyorki,1
sütlü,3
kahve,25
içiyorum,13
kakao,2
Kerim,3
yemedik,1
yumurta,11
koyuyummu,2
yedik,12
burasımı,1
çocuğu,16
olsunmu,3
çocukların,3
ismini,2
Selim,4
Eren,2
tepetaklak,2
e,23
konuşur,1
yapsınlarmı,1
demiyorki,1
nasılsın,1
yapmadım,4
tersaneye,1
gittim,17
dümenler,1
gemilere,1
baktım,5
tekrar,10
eveyemek,1
döndüm,1
anlatmak,1
istemiyor,3
uykusu,6
gelsin,15
yatsın,9
bahçede,6
ha,161
arabalar,28
durmuyor,12
konuşmadı,1
birbirleriyle,1
babasının,2
yanına,13
yattı,8
yatacak,4
inmiyormu,1
iniyor,3
böylece,2
çıksınlar,1
çıkarlarmı,1
yaptığım,1
gibi,32
yaparlarmı,1
yapıyorlar,15
yatsınlar,2
isterseler,1
düşer,5
hepsi,21
düşüyormu,1
otururuz,1
diz,1
üstüne,32
beni,51
seviyor,3
tada,1
duracakmı,1
küşu,1
kuşun,2
nerede,22
sevmiyorlar,3
televizyon,19
seyretmesini,1
verebilirmisin,1
bittimi,2
biskuitler,1
sende,1
neden,22
makine,3
mi,74
traktörü,9
çıkardım,2
uçağı,8
çıkarttım,5
şu,88
arabaların,2
gelecek,20
hı,167
Aykutlara,2
Ayfer,2
Aykut,3
ağabey,1
oğlan,24
hım,6
içerde,8
varmı,25
yattım,4
Kumburgaz,4
kaça,2
gidiyordur,1
yatmıştık,2
heeh,3
yattık,6
daydaylarım,4
oturuyor,31
daydayım,2
huuh,2
girmiyorum,2
korkuyorum,11
denizden,3
mayomlan,2
gidiyorum,31
boynumdan,2
senin,43
kazağından,2
şundan,7
kaldırıldı,2
kestim,3
hıh,26
eh,9
yedim,12
verdim,5
bi,8
tanesini,2
kocaman,24
balığımı,2
göstereyimmi,3
babaannemden,3
kullanıyorum,6
sönüyor,12
şurası,15
açık,17
şurada,2
yaptım,37
açtım,11
şişirecem,1
şunla,2
balığı,12
denize,25
onu,139
aldım,11
evde,39
yiyorum,13
divanın,2
altına,13
huh,4
koşarım,7
hızım,2
koşuyummu,1
hızlı,7
koşuyorum,12
koştum,3
Zeyneple,2
bilmiycemki,1
bilmem,22
oyunu,8
ona,53
arabanın,13
ötekini,2
köprü,12
düşürdüm,3
onları,30
gönderme,2
onlara,9
içiym,1
öyleyse,2
oynamam,10
söyleyecem,1
oynarız,7
kere,13
gelmiştik,2
oynamıştık,3
hatırladım,1
birşeyler,14
anlat,16
annemlen,2
şunları,5
kırdı,3
atarım,23
bom,3
kelem,1
çıkartmanı,2
versene,34
döküycem,2
arabalara,4
geçim,2
geceleyin,3
bilmemki,3
taraklan,2
süslenir,13
boyuyor,15
be,57
oynuycaz,1
yapmıycam,2
sürüyor,19
uuuh,1
kelamlan,3
neylen,2
boyasınlan,2
kalemlan,1
kalemlen,4
boyuyacak,2
boyanmaz,2
bakım,1
ayağa,3
kalkımda,1
alacak,25
geri,2
alalım,11
buyam,2
benimki,6
kadardı,3
dimi,9
ablamınki,2
boncuk,21
uyuyordu,2
uyumuyordu,2
tekerleri,2
atmıştım,2
çıkmıyor,7
sürüyorum,2
ojeni,2
şarkı,11
okur,18
türkü,3
okula,27
gitmiyor,14
geliyor,87
uyanırken,3
annem,182
ütüler,6
ütülüyor,26
deminden,1
temizledi,3
omuylan,2
gösterim,1
omoyu,2
oturacam,3
tak,26
burasını,6
annecim,4
oraya,47
kapısını,5
buralar,1
girecekler,2
girsinler,2
yetişmek,1
misafirlere,1
kendi,24
kendileriyle,1
oynar,32
kendimizle,1
Sinanla,2
gölelerlen,2
legolarlan,1
gösterdim,1
size,7
gidecem,15
uyanınca,3
yarımda,1
uyanıyoruz,1
uyumayacağız,1
bugün,10
yatmayacağız,1
parçası,4
Yaşarla,1
durmuşla,1
köpeklerle,1
uğraşırız,1
Zorba,1
Zulu,2
Zombie,3
yapmaz,6
içer,34
köpekler,45
insanız,2
köpek,49
te,19
yapraklar,8
onbir,3
yaşında,4
koydum,19
ordaki,2
düymeye,1
basıyorsun,2
çalıyor,8
konuşmak,1
sesim,5
çıkıyor,27
mikrofondan,1
ceryan,4
fiş,2
tellere,1
benzeyen,2
kalem,23
ipe,1
benzer,2
yazı,16
bilirim,6
yazmasını,1
ögrendim,2
N,1
yapıyorum,47
E,61
K,1
A,2
deftere,3
defterime,1
yarın,13
öbür,10
kalemimi,3
alsam,1
silgi,2
kırık,2
hiçbirşey,32
peki,19
siliyimmi,1
yapamıyorum,1
sulu,2
boyamız,1
kurudu,1
boyalar,1
kırıldı,13
anneannem,28
mapağı,1
kırılmıştı,1
Avrupadan,2
Paristen,1
gitmedikki,1
Ankaraya,3
Uludağa,4
gittik,51
Polonezköye,1
motorla,2
arabayla,8
vapuruna,1
bindik,18
babamın,13
arabası,20
çukura,1
kaydı,3
kardan,2
kırılmadı,2
kişi,11
çıkardı,3
şeydeydik,1
içerdeydik,1
sinemayı,1
seyrediyorduk,1
Uludağda,2
onlarla,9
kayboldu,7
vapurlarını,1
götüreceğiz,3
kayıyoruz,3
koca,3
uçağım,2
taksim,1
Kerimin,2
karların,1
ortasında,2
onlardan,4
düşüyoruz,1
kendimiz,3
karları,1
birbirimize,1
kar,8
yapmadık,1
adam,28
yaptık,6
le,1
gagasını,1
yaptı,24
burnunu,2
havuçla,1
yapmadı,2
taşın,1
uzun,13
kayakları,1
kaldı,13
parasını,1
vermedi,4
kayak,4
kızdı,5
kayakçı,1
düşmeden,1
taaa,1
yukardan,8
defa,2
varken,1
aşağıdan,1
kaydım,5
sus,2
dedik,2
bırakıyor,3
teli,1
bırakıyoruz,1
yukarı,8
Aliyle,2
Mete,3
iniyorlar,1
böylr,1
parkede,2
çorapla,1
takıyor,7
tutmuyor,1
yokuş,2
çıkıyoruz,3
batonlarla,1
arkaya,6
itiyoruz,2
gördüm,49
annemin,10
tek,16
nın,1
bastonu,1
kullanmıyor,3
Yaşar,2
Yilmaz,1
Hasan,4
Durmuş,5
Ali,9
az,9
oyuncakları,8
odasında,4
balkonda,1
bizle,4
evcilik,3
şeyler,13
üstüste,4
koyuyoruz,5
onlan,6
arasına,3
giriyoruz,3
şöyle,43
kalksak,1
konuşmasını,1
biliyor,4
Afiye,2
delik,4
açtılar,1
yemeğini,1
yer,89
yatağına,4
yatar,13
gece,31
erken,3
yatıyor,26
geç,10
uyuyoruz,5
şarkılar,2
söylüyoruz,2
görüyorsun,1
olduğunu,1
çıkarsana,3
elbisesi,6
çiçekli,2
saçlarını,2
görmüyormuydun,1
burada,18
otururken,1
görmedimki,2
cık,32
bakmadım,1
buradan,4
giyiyor,6
elbise,8
yıkıyor,14
boyamıyor,1
traş,3
ütülemez,1
pislenirse,1
yıkanırsa,1
olursa,3
zaten,7
bahçe,10
pantolonumuzu,2
giyiyoruz,1
yıkıyorlar,3
kırletiyoruz,1
camları,2
ondan,116
temizlemez,2
pislenince,1
halı,4
tozu,1
yaptırdılar,3
içeriyi,1
şunların,1
yerse,2
kadarını,1
kapıların,1
yatakların,1
ayağın,1
dişleri,3
gözlüğü,2
gözlüğünü,1
kitap,17
gazete,8
çıkartsana,4
babaanneye,1
Kilyosa,2
apartmana,1
orada,11
bisikletimiz,2
gelirken,7
balkondan,2
bisikletleri,1
eskidi,1
Suatların,1
bisiklet,2
sürüyorlar,1
bile,8
elimi,7
sürdüm,1
Suatın,2
bisikletine,1
bisikleti,2
balkon,1
havuza,2
girdik,2
deniz,9
kenarında,1
havuz,2
yapraklı,1
olduğu,8
ağaçtan,1
düşüyor,14
kolluğumlan,1
atliyacağım,1
kenara,3
ortada,4
kolluğumla,1
ortaya,1
atlıyacağım,2
ortadan,1
uzağa,3
oradan,5
kollukla,1
kolluğu,1
çıkaracağım,1
kolluğumu,1
uzağından,2
yaklaştıkça,1
burayıgeçip,1
merdivenin,2
atlamıyacamki,1
gelecem,5
havuzun,1
kollukları,1
çikaracam,1
uzağına,2
gidip,3
geçip,1
merdivene,1
merdivenden,2
çıkacam,1
alırım,10
kolluğunu,1
tutsun,3
elimle,2
yüzerim,1
kaç,18
hadi,55
artık,18
oynamıyalım,1
sıkıldim,1
sıkıldım,2
oynamaktan,1
gittin,1
bizimkiler,1
Zorbayla,1
ısırmazlar,1
ısırmıyorki,2
yüzecem,1
söylemem,4
binince,2
ki,66
tırmalar,24
kanat,2
kanadıyla,1
kanatlarla,1
onların,12
kanatları,18
düz,3
durur,6
pilot,1
uçakları,1
uçurur,1
kurdu,10
okulda,18
yapmasakta,1
ısırır,47
yaramazlık,17
yaparsak,1
ta,31
yapmazsak,1
tutuyor,6
söyleyim,3
kuyruğu,24
yüzmezler,2
balığın,6
şarkısını,1
gölde,1
kivrıla,1
kıvrıla,1
balıkçı,2
oltasını,1
tahtaları,7
yapalım,14
tamam,20
oynadım,22
Nihalle,1
Kadir,5
bize,18
kavga,11
edeceğiz,1
kovboyculuk,5
oynıyacağız,2
tüfekle,2
sope,1
tüfeğim,3
düşman,1
öbürüki,1
derilikız,3
Nihal,1
düşmanım,1
öldüreceğiz,2
öldürürüz,1
yapacağız,4
götürmiyeceğiz,1
kaçıracağız,1
şeye,17
dağa,3
gideceğiz,1
yapıcağız,1
doktora,7
düşmanlar,2
iste,1
öldürmiyeceğim,1
derilikızı,1
öldürecek,2
tüfeklerle,1
ince,3
sopa,8
alacağım,4
in,2
ölecek,1
içeride,2
oyniyacağız,1
içeri,17
odadan,1
okuldan,5
ederim,7
düşmancılık,1
oynarım,39
ederiz,2
tüfeklerimizi,1
bırakırız,1
gidiyoruz,26
atlan,2
gördük,6
kaçırdık,1
dışardan,2
kovalıyorduk,1
dışarıda,7
Kadirlen,2
bahçeye,4
füt,1
bizden,2
kaçıyor,9
dağlara,1
ışte,1
oradakine,1
düşüyorduk,1
Kadirle,2
tüfeği,2
salonda,1
yatak,6
Kadirin,1
Cemalin,1
evinde,9
arkadaşım,9
başımıza,1
sinemaya,13
Memoya,1
Padişaha,1
sakallı,1
padişaha,1
kızıyordu,1
alıp,3
kaçırıyorlardı,1
bebeği,17
Ben,2
ablası,4
değilim,6
arkadaşımdan,1
0zorla,1
taktı,2
kapıya,1
ah,48
yapamadık,1
iş,29
uyuyor,31
gittiler,22
atlar,14
eder,2
ablam,7
koysana,4
arabayı,20
akşamları,12
çalışıyor,14
seyrediyoruz,7
temizliyor,25
bezle,8
uyuyorum,13
arkadaşlarıma,1
gezer,10
dışarda,10
kedimiz,3
bahçedeler,1
Kontumuz,1
olurdu,1
Amerika,1
Amerikam,1
havada,7
uçtular,1
ederler,4
şeyde,7
yerleri,9
Amerikada,1
canı,2
istedi,2
uçar,22
çıkarırlar,1
düzelteyim,2
oh,14
pat,5
yüzer,15
düşürürler,1
adamlar,15
kenarda,3
yüzüyordum,4
mayo,1
giyiyordum,1
gidiyordum,2
koşuyordum,1
kumda,3
şap,2
atladım,3
trablenden,2
oradaydım,1
göremiyorlardı,1
babamla,16
kuyruk,5
palet,1
gezeceğim,1
düşeceğim,1
boyuyorum,2
atı,3
atımı,1
yatıyordum,4
atlıyordum,1
denizin,5
merdiveni,1
oynıyorduk,1
denizcilik,1
çocuk,33
oluyorduk,2
alıyorduk,1
bebekleri,4
alıyordu,2
indiriyordu,1
atlıyorduk,1
görmedim,11
balığa,1
gitmişti,4
tutuyorlardı,1
kayığa,1
bindiler,2
babamı,8
davet,1
amcam,12
biri,10
Cem,2
Avni,1
her,20
dolu,12
sıra,2
yoktu,7
oturanlar,1
dedim,16
taşı,2
ordan,31
yerden,4
wood,1
sandalye,2
gezmeye,5
benzin,2
karga,19
kargamız,1
herzaman,8
yakalıyoruz,1
tilkileri,1
alıyordum,1
gebertiyordum,1
ağlıyordu,2
yakalıyorduk,1
kaçıyorlardı,1
kuyruğundan,3
çimdik,1
attık,1
takla,1
şambır,1
tilk,1
i,3
0tilkisini,1
öldürdü,2
tilki,18
birisini,1
arıyordu,1
rıp,2
eşekler,3
katırlar,1
şişman,2
bulmaya,1
geldiler,2
açmadık,1
kapıyı,14
ettiler,1
0onlan,1
tilkiyi,2
yakaladılar,1
been,2
diziyorum,2
güzelcene,1
dizelim,1
düşmesin,5
ezilecek,1
ezeceğim,1
saklambaç,1
ebecilik,3
okadar,11
oynucaklarımla,1
arabacılık,1
ötüyor,1
Kağan,2
Hayri,2
Erdal,2
Ercan,2
Kenan,1
arkadaşlarım,5
dogüm,1
günümde,3
oynucaklarla,1
oynadık,12
pastalar,1
oyuncaklarla,3
geliyorum,2
arkadaş,3
Keremle,1
Kerem,1
Nil,1
sıkılıyordur,1
sabahları,5
geceleri,6
annemle,14
hava,3
geliyoruz,1
zürafa,15
hayvanat,14
bahçesinde,4
taksi,8
Murat,8
Opel,1
Opeller,1
Perdo,1
Reno,1
bahçesi,6
neler,6
sincap,16
sincaplar,1
sokaklarda,3
ormanlarda,2
maymunlar,1
goriller,2
maymunun,3
büyüğüne,1
goril,3
derler,17
yapa,1
zürafayı,1
yapamam,13
sincapı,1
yuvarlak,4
yazarım,8
resmini,5
boyama,2
resmiyle,1
defterim,1
yazdım,7
numaraları,1
yazıyorum,7
altmış,1
keçi,10
öküz,2
hayvan,27
sayfaya,1
Tunga,1
Baysal,1
gitmiyorum,17
arada,3
sırada,1
başlıyacağım,1
oyuncaklar,18
oynuyorduk,3
ördek,16
herşey,3
kurt,76
kaybolmuş,1
Aslı,2
yuvaya,1
inşaate,1
yazıhaneye,1
gidıyor,1
heryere,1
Beşiktaşa,1
uzak,2
Kuşadasına,1
Burgaza,1
eşek,16
ediyorlar,7
adada,3
hem,17
fayton,1
gündüzleri,1
okurlar,1
yalnız,18
dikiş,5
dikiyor,5
çocukları,15
futbol,2
maçında,1
uyuyorlar,5
başıları,1
oyuncaklarımla,4
oynu,1
arabama,1
bindim,5
pijamalarımı,1
soyundum,1
giyindim,2
oynamaya,1
basladım,1
elime,11
kolanya,2
bayağı,46
ütüyle,11
kızıyor,6
Han,4
teyzem,9
yoruluyor,2
parkeleri,1
cilayla,1
kirlidir,1
kirlenir,1
dikti,2
çarşıdan,6
kumaşını,1
hikaye,3
masal,16
bilmece,2
bileyimmi,1
gitmiş,40
yarı,3
geliyormuş,1
arkasından,2
saldırmış,1
okadarcık,1
yeter,3
gidiyormuş,10
ağaçlardan,1
zıplıya,2
gelmiş,45
peynir,13
atayım,3
demiş,53
söyliyeyim,4
derken,1
düşmüş,10
kapmış,1
peyniri,8
kahkahayla,1
gülmüş,1
birisi,16
pikap,2
çalıyormuş,2
atmış,10
kalkmış,4
uyumuş,2
bakmış,2
yutacakmış,2
kaçmaya,3
başlamış,1
yakalayamamış,1
bitmiş,10
kısa,2
uzununu,1
kardeşine,1
rastlamış,5
kardeşim,4
gidiyorsun,3
Almanyaya,1
gideyim,3
uçakla,3
duruyormuş,6
havaalanında,1
binmişler,3
gitmişler,14
Almanyada,1
kurtları,2
avcı,1
vurmuş,11
sincabı,2
içinden,8
cıkarmış,1
yerde,21
böcek,3
uç,6
böceğiymiş,2
uçmuş,6
arı,1
arıyı,1
sokmuş,2
üc,1
böceği,2
içmiş,2
havuzda,2
yüzüyor,5
maymunmuş,1
bakmiş,1
hoop,1
maymunu,2
yutmuş,1
yutamaz,3
en,19
büyüğü,1
şısman,1
yine,25
çukur,1
havaya,1
tuzağa,1
duvar,1
oop,3
horozlar,10
yüzüyormuş,1
tutmuş,2
yemiş,11
kediyi,1
severim,16
pislik,1
pisliklerin,1
çöplerin,1
girer,12
çopleri,1
devirir,1
tırnakları,6
vardır,3
yutabilir,2
kedileri,5
köpekleri,7
av,4
köpeğini,3
yutan,1
köpeği,18
kuvvetlisi,1
Can,3
yutar,8
büyüktür,1
bukadardır,3
annemi,13
hepimizi,1
yavruları,5
ısırmaz,13
yavrularını,2
sokaklara,1
bırakırlar,1
köpeklerin,1
zincirleri,1
birilerini,1
ısırmasın,2
yüksek,2
yokuştan,2
teleskiler,1
ipler,3
çıktım,2
iple,1
kaymıyor,2
başıma,5
hoca,3
hocayla,1
eniştemle,1
karınları,2
acıkmıştır,1
bisküvi,7
yemezler,5
bizde,10
ceviz,6
kuşlar,22
yem,8
yürürler,2
uçarlar,17
zebralar,1
yürür,18
koşamaz,2
acır,1
yeşildir,1
koşuyor,8
kafeste,1
kafesten,1
köprüden,8
geçti,12
geçireyimmi,2
geçirecem,1
dakka,7
çünku,1
kuvvetlidir,1
köprünün,13
zebra,26
yanında,9
durmazmı,2
duruyor,27
kül,1
tablasının,1
dururmu,2
hah,23
durdurdum,2
balıklar,21
denizde,16
kanatlarıyla,3
direğin,3
arasından,6
atlayacak,3
üstünden,7
atlıyamazı,1
direk,1
hepsini,10
dizeyim,2
durdur,2
yahu,6
durduruyum,2
durduruyummu,1
durmadı,2
el,4
ele,3
tutsunlar,1
parka,14
burasıymış,1
sokmıyalım,1
acaba,10
kaz,6
ufak,1
bukadar,16
neyi,6
fırlatırım,1
atabilirim,1
parkta,5
Bebek,1
parkında,1
yazları,1
yazın,4
olunca,17
kazın,2
dizmedim,1
dizilsin,1
deve,9
durdu,10
duştü,2
gine,9
neyle,5
durdursak,1
yanlış,4
açıyor,2
horozu,2
ü,3
ürü,3
üü,3
horoz,10
atladı,6
götürüyor,9
atları,1
tavuk,6
getirdi,20
kutuyu,5
yuttu,3
yemleri,3
evine,30
getirecek,2
sağa,2
sapıcak,1
saldırıyor,4
bütün,17
döküyor,10
adamı,5
inmedi,1
korktu,3
zebradan,2
camını,1
kırar,3
adamın,5
trak,1
vurdu,3
bam,3
camına,1
damın,1
camı,3
Cağaloğluna,1
Cağaloğlunda,1
geçicek,2
altından,8
atlıyamaz,4
getireyim,2
ufacık,2
koskocaman,2
geçebilirmi,1
geçemez,2
yavaşlıyor,1
arıyor,3
öter,6
bağırır,4
aslanın,1
kaldırımdan,1
çıkmak,2
çıkamadı,3
sonunda,3
yemler,1
kamyon,12
devirdi,2
çunkü,2
atlıyabilir,2
zebrayı,1
ezecekti,1
sahibi,5
zebraya,3
zebranın,4
Bobiyi,1
neydi,2
kurdun,2
kadardır,1
kişiyi,1
havlıyor,3
tavukmu,1
tavuğun,1
koptu,4
kopmuş,2
azıcık,4
lokmacık,1
niçin,20
bıraktı,1
yarıyolda,1
rastliyacak,1
yutacak,2
op,2
kız,36
ikisini,3
yutamadı,1
birdiler,1
çocuklar,45
ağzından,2
kurtuldular,1
kamyonun,1
burasına,10
ikiz,2
oldular,1
kardeş,3
cik,14
yapar,53
kartal,7
kuşu,9
ai,5
kalın,1
ses,9
uçuyor,8
geçiyormuş,1
şurdan,8
uçtu,1
amuda,2
kalkabilir,2
üst,2
gagaladı,1
mummy,8
cam,3
hoplar,1
cevizi,1
açsana,9
örgü,2
örüyor,2
sallanıyor,3
anneanneyi,1
elim,7
yam,2
nam,1
sallıyor,1
blue,3
emmioğlu,2
çiftliği,3
hö,2
adım,1
Banu,1
İrfan,2
çamaşır,5
pastahanede,3
la,10
teşekkür,2
efendiler,1
yiyecem,3
bakkal,4
amca,19
doğum,9
günüm,2
oluyor,36
temizlik,3
hepinize,1
Hürrem,1
Totoş,1
t,2
verdi,17
domuz,5
çukulata,7
geldiniz,1
öldürüyor,1
atlıyor,3
yakalıyorlar,1
pastanede,1
kokoş,1
anneme,9
ba,10
he,7
dövücem,1
dolduracam,1
doldur,1
lama,1
deli,5
ısırmıyor,4
söyliyecem,2
söylicem,1
kırılmış,5
odaya,2
gidicem,5
duracak,8
gidi,1
oynamıycam,1
ciyan,1
cıyan,1
elbisemi,1
olmuş,24
Tandoğan,5
mektebe,4
sine,1
Tandoğanın,1
yatırdım,4
şapkası,6
gözü,12
sever,4
çalış,3
yediricem,1
vurucam,1
taramaz,1
taradı,2
içmiyor,1
dont,4
götürdüm,3
pisi,15
pisiyi,2
bardakla,8
kulakları,3
burnu,7
ipliği,1
mısır,3
pişirecek,1
evladım,1
boya,7
uf,7
orası,8
yiyeceğim,2
seviyorum,51
kuzuyu,3
lamayı,1
yavru,5
gezerler,4
ağlar,4
herkesi,2
herhesi,1
sokakta,16
görüyorum,17
yerlerde,2
bağırırsam,1
kovuyor,1
ablamı,1
inadına,2
yapıcak,3
havalarda,1
